FIPS,fyDeclared,incidentType,count
01047,2009,Severe Storm,1
01047,2011,Severe Storm,2
01047,2012,Hurricane,1
01047,2017,Hurricane,1
01047,2018,Hurricane,2
01047,2020,Biological,2
01047,2020,Hurricane,1
01047,2020,Severe Storm,1
01047,2021,Hurricane,1
01047,2023,Severe Storm,1
01049,2000,Severe Storm,1
01049,2002,Severe Storm,1
01049,2003,Severe Storm,2
01049,2004,Hurricane,1
01049,2005,Hurricane,1
01049,2008,Hurricane,1
01049,2009,Severe Storm,2
01049,2010,Severe Storm,1
01049,2011,Severe Storm,2
01049,2014,Severe Storm,1
01049,2016,Severe Storm,1
01049,2017,Hurricane,1
01049,2019,Severe Storm,1
01049,2020,Biological,2
01049,2020,Hurricane,1
01049,2020,Severe Storm,1
01051,2004,Hurricane,1
01051,2005,Hurricane,2
01051,2008,Hurricane,1
01051,2009,Severe Storm,2
01051,2011,Severe Storm,2
01051,2016,Severe Storm,1
01051,2017,Hurricane,1
01051,2018,Hurricane,1
01051,2020,Biological,2
01051,2020,Hurricane,1
01051,2021,Hurricane,1
01051,2023,Severe Storm,2
01053,2003,Severe Storm,1
01053,2004,Hurricane,1
01053,2005,Hurricane,2
01053,2008,Hurricane,1
01053,2010,Severe Storm,1
01053,2011,Severe Storm,2
01053,2016,Severe Storm,1
01053,2017,Hurricane,1
01053,2018,Hurricane,1
01053,2019,Hurricane,1
01053,2020,Biological,2
01053,2020,Hurricane,2
01055,2001,Severe Storm,1
01055,2002,Fire,1
01055,2002,Severe Storm,1
01055,2003,Severe Storm,2
01055,2004,Hurricane,1
01055,2005,Hurricane,1
01055,2008,Hurricane,1
01055,2011,Severe Storm,2
01055,2014,Severe Storm,1
01055,2017,Hurricane,1
01055,2018,Severe Storm,1
01055,2020,Biological,2
01055,2020,Hurricane,1
01055,2020,Severe Storm,1
01057,2001,Severe Storm,1
01057,2002,Severe Storm,1
01057,2003,Severe Storm,1
01057,2004,Hurricane,1
01057,2005,Hurricane,1
01057,2008,Hurricane,1
01057,2011,Severe Storm,2
01057,2016,Severe Storm,1
01057,2017,Hurricane,1
01057,2020,Biological,2
01057,2020,Hurricane,1
01057,2020,Severe Storm,1
01059,2003,Severe Storm,1
01059,2004,Hurricane,1
01059,2005,Hurricane,1
01059,2008,Hurricane,1
01059,2011,Severe Storm,2
01059,2014,Severe Storm,1
01059,2016,Severe Storm,1
01059,2017,Hurricane,1
01059,2019,Severe Storm,1
01059,2020,Biological,2
01059,2020,Hurricane,1
01061,2001,Severe Storm,1
01061,2004,Hurricane,1
01061,2005,Hurricane,2
01061,2008,Hurricane,1
01061,2009,Severe Storm,1
01061,2010,Severe Storm,1
01061,2011,Severe Storm,2
01061,2012,Hurricane,1
01061,2014,Severe Storm,1
01061,2016,Severe Storm,1
01061,2017,Hurricane,1
01061,2018,Hurricane,1
01061,2019,Hurricane,2
01061,2020,Biological,2
01061,2020,Hurricane,2
01063,2003,Severe Storm,1
01063,2004,Hurricane,1
01063,2005,Hurricane,3
01063,2008,Hurricane,1
01063,2011,Severe Storm,2
01063,2017,Hurricane,1
01063,2018,Hurricane,1
01063,2019,Severe Storm,1
01063,2020,Biological,2
01063,2020,Hurricane,1
01063,2020,Severe Storm,1
01063,2023,Severe Storm,1
01065,2003,Severe Storm,1
01065,2004,Hurricane,1
01065,2005,Hurricane,3
01065,2008,Hurricane,1
01065,2011,Severe Storm,2
01065,2017,Hurricane,1
01065,2018,Hurricane,1
01065,2020,Biological,2
01065,2020,Hurricane,1
01065,2021,Hurricane,1
01065,2021,Severe Storm,1
01065,2023,Severe Storm,1
01067,2001,Severe Storm,1
01067,2003,Severe Storm,1
01067,2004,Hurricane,1
01067,2005,Hurricane,2
01067,2007,Severe Storm,1
01067,2008,Hurricane,1
01067,2009,Severe Storm,1
01067,2010,Severe Storm,1
01067,2011,Severe Storm,2
01067,2016,Severe Storm,1
01067,2017,Hurricane,1
01067,2018,Hurricane,1
01067,2019,Hurricane,2
01067,2020,Biological,2
01067,2020,Hurricane,1
01067,2020,Severe Storm,1
01069,2001,Severe Storm,1
01069,2003,Severe Storm,1
01069,2004,Hurricane,1
01069,2005,Hurricane,2
01069,2008,Hurricane,1
01069,2009,Severe Storm,1
01069,2011,Severe Storm,2
01069,2014,Severe Storm,1
01069,2016,Severe Storm,1
01069,2017,Hurricane,1
01069,2018,Hurricane,1
01069,2019,Hurricane,2
01069,2020,Biological,2
01069,2020,Hurricane,2
01071,2000,Severe Storm,1
01071,2002,Fire,1
01071,2003,Severe Storm,1
01071,2004,Hurricane,1
01071,2005,Hurricane,1
01071,2007,Severe Storm,1
01071,2008,Hurricane,1
01071,2009,Severe Storm,1
01071,2011,Severe Storm,2
01071,2016,Severe Storm,1
01071,2017,Hurricane,1
01071,2019,Severe Storm,1
01071,2020,Biological,2
01071,2020,Hurricane,1
01071,2020,Severe Storm,1
01073,2000,Fire,1
01073,2000,Severe Storm,1
01073,2001,Severe Storm,2
01073,2002,Severe Storm,1
01073,2003,Severe Storm,2
01073,2004,Hurricane,1
01073,2005,Hurricane,3
01073,2007,Severe Storm,1
01073,2008,Hurricane,1
01073,2009,Severe Storm,1
01073,2011,Severe Storm,2
01073,2012,Severe Storm,1
01073,2014,Severe Storm,1
01073,2017,Hurricane,1
01073,2018,Hurricane,1
01073,2020,Biological,2
01073,2020,Hurricane,1
01073,2021,Severe Storm,1
01073,2022,Severe Storm,1
01075,2001,Severe Storm,1
01075,2002,Severe Storm,1
01075,2003,Severe Storm,1
01075,2004,Hurricane,1
01075,2005,Hurricane,2
01075,2008,Hurricane,1
01075,2009,Severe Storm,2
01075,2011,Severe Storm,2
01075,2014,Severe Storm,1
01075,2016,Severe Storm,1
01075,2017,Hurricane,1
01075,2019,Severe Storm,1
01075,2020,Biological,2
01075,2020,Hurricane,1
01075,2020,Severe Storm,1
01077,2003,Severe Storm,1
01077,2004,Hurricane,1
01077,2005,Hurricane,2
01077,2008,Hurricane,1
01077,2011,Severe Storm,2
01077,2017,Hurricane,1
01077,2020,Biological,2
01077,2020,Hurricane,1
01077,2023,Severe Storm,1
01079,2002,Severe Storm,1
01079,2003,Severe Storm,2
01079,2004,Hurricane,1
01079,2005,Hurricane,1
01079,2008,Hurricane,1
01079,2011,Severe Storm,2
01079,2016,Severe Storm,1
01079,2017,Hurricane,1
01079,2020,Biological,2
01079,2020,Hurricane,1
01081,2003,Severe Storm,1
01081,2004,Hurricane,1
01081,2005,Hurricane,2
01081,2008,Hurricane,1
01081,2011,Severe Storm,2
01081,2014,Severe Storm,1
01081,2016,Severe Storm,1
01081,2017,Hurricane,1
01081,2019,Tornado,1
01081,2020,Biological,2
01081,2020,Hurricane,1
01083,2001,Severe Storm,1
01083,2003,Severe Storm,1
01083,2004,Hurricane,1
01083,2005,Hurricane,1
01083,2008,Hurricane,1
01083,2011,Severe Storm,2
01083,2014,Severe Storm,1
01083,2017,Hurricane,1
01083,2020,Biological,2
01083,2020,Hurricane,1
01083,2020,Severe Storm,1
01085,2004,Hurricane,1
01085,2005,Hurricane,2
01085,2008,Hurricane,1
01085,2011,Severe Storm,2
01085,2016,Severe Storm,1
01085,2017,Hurricane,1
01085,2018,Hurricane,1
01085,2020,Biological,2
01085,2020,Hurricane,1
01085,2021,Hurricane,1
01087,2001,Severe Storm,1
01087,2003,Severe Storm,1
01087,2004,Hurricane,1
01087,2005,Hurricane,2
01087,2008,Hurricane,1
01087,2011,Severe Storm,2
01087,2016,Severe Storm,1
01087,2017,Hurricane,1
01087,2018,Hurricane,2
01087,2020,Biological,2
01087,2020,Hurricane,1
01087,2020,Severe Storm,1
01087,2023,Severe Storm,1
01089,2002,Severe Storm,1
01089,2003,Severe Storm,1
01089,2004,Hurricane,1
01089,2005,Hurricane,1
01089,2008,Hurricane,1
01089,2011,Severe Storm,2
01089,2017,Hurricane,1
01089,2019,Severe Storm,1
01089,2020,Biological,2
01089,2020,Hurricane,1
01091,2004,Hurricane,1
01091,2005,Hurricane,3
01091,2008,Hurricane,1
01091,2009,Severe Storm,1
01091,2011,Severe Storm,2
01091,2017,Hurricane,1
01091,2018,Hurricane,1
01091,2020,Biological,2
01091,2020,Hurricane,1
01091,2021,Hurricane,1
01093,2002,Severe Storm,1
01093,2003,Severe Storm,1
01093,2004,Hurricane,1
01093,2005,Hurricane,2
01093,2008,Hurricane,1
01093,2011,Severe Storm,2
01093,2016,Severe Storm,1
01093,2017,Hurricane,1
01093,2019,Severe Storm,1
01093,2020,Biological,2
01093,2020,Hurricane,1
01093,2020,Severe Storm,1
01093,2023,Severe Storm,1
01095,2002,Severe Storm,1
01095,2003,Severe Storm,2
01095,2004,Hurricane,1
01095,2005,Hurricane,1
01095,2008,Hurricane,1
01095,2009,Severe Storm,1
01095,2010,Severe Storm,1
01095,2011,Severe Storm,2
01095,2016,Severe Storm,1
01095,2017,Hurricane,1
01095,2020,Biological,2
01095,2020,Hurricane,1
01095,2020,Severe Storm,1
01097,2003,Hurricane,1
01097,2003,Severe Storm,1
01097,2004,Hurricane,1
01097,2005,Hurricane,4
01097,2008,Hurricane,2
01097,2008,Severe Storm,1
01097,2010,Hurricane,1
01097,2011,Severe Storm,2
01097,2012,Hurricane,1
01097,2014,Severe Storm,1
01097,2017,Hurricane,1
01097,2018,Hurricane,2
01097,2019,Hurricane,2
01097,2020,Biological,2
01097,2020,Hurricane,2
01097,2021,Hurricane,1
01097,2023,Severe Storm,1
01099,2003,Severe Storm,1
01099,2004,Hurricane,1
01099,2005,Hurricane,3
01099,2008,Hurricane,1
01099,2011,Severe Storm,2
01099,2012,Hurricane,1
01099,2016,Severe Storm,1
01099,2017,Hurricane,1
01099,2018,Hurricane,1
01099,2020,Biological,2
01099,2020,Hurricane,2
01099,2021,Hurricane,1
01101,2004,Hurricane,1
01101,2005,Hurricane,2
01101,2007,Severe Storm,1
01101,2008,Hurricane,1
01101,2009,Severe Storm,1
01101,2011,Severe Storm,2
01101,2017,Hurricane,1
01101,2018,Hurricane,1
01101,2019,Hurricane,1
01101,2020,Biological,2
01101,2020,Hurricane,1
01103,2003,Severe Storm,2
01103,2004,Hurricane,1
01103,2005,Hurricane,1
01103,2008,Hurricane,1
01103,2011,Severe Storm,2
01103,2017,Hurricane,1
01103,2019,Severe Storm,1
01103,2020,Biological,2
01103,2020,Hurricane,1
01103,2023,Severe Storm,2
01105,2004,Hurricane,1
01105,2005,Hurricane,3
01105,2008,Hurricane,1
01105,2009,Severe Storm,1
01105,2011,Severe Storm,2
01105,2012,Hurricane,1
01105,2012,Severe Storm,1
01105,2014,Severe Storm,1
01105,2016,Severe Storm,1
01105,2017,Hurricane,1
01105,2018,Hurricane,1
01105,2020,Biological,2
01105,2020,Hurricane,1
01105,2020,Severe Storm,1
01105,2021,Hurricane,1
01105,2021,Severe Storm,1
01107,2003,Severe Storm,1
01107,2004,Hurricane,1
01107,2005,Hurricane,3
01107,2008,Hurricane,1
01107,2011,Severe Storm,2
01107,2012,Hurricane,1
01107,2014,Severe Storm,1
01107,2017,Hurricane,1
01107,2020,Biological,2
01107,2020,Hurricane,1
01109,2004,Hurricane,1
01109,2005,Hurricane,2
01109,2008,Hurricane,1
01109,2010,Severe Storm,1
01109,2011,Severe Storm,2
01109,2016,Severe Storm,1
01109,2017,Hurricane,1
01109,2018,Hurricane,1
01109,2019,Hurricane,1
01109,2020,Biological,2
01109,2020,Hurricane,2
01109,2020,Severe Storm,1
01111,2003,Severe Storm,1
01111,2004,Hurricane,1
01111,2005,Hurricane,2
01111,2008,Hurricane,1
01111,2011,Severe Storm,2
01111,2017,Hurricane,1
01111,2020,Biological,2
01111,2020,Hurricane,1
01111,2020,Severe Storm,1
01111,2021,Hurricane,1
01111,2021,Severe Storm,1
01111,2023,Severe Storm,1
01113,2003,Severe Storm,1
01113,2004,Hurricane,1
01113,2005,Hurricane,2
01113,2008,Hurricane,1
01113,2009,Severe Storm,1
01113,2010,Severe Storm,1
01113,2011,Severe Storm,2
01113,2016,Severe Storm,1
01113,2017,Hurricane,1
01113,2019,Hurricane,1
01113,2020,Biological,2
01113,2020,Hurricane,1
01115,2001,Severe Storm,1
01115,2002,Severe Storm,1
01115,2003,Severe Storm,2
01115,2004,Hurricane,1
01115,2005,Hurricane,1
01115,2008,Hurricane,1
01115,2011,Severe Storm,2
01115,2016,Severe Storm,1
01115,2017,Hurricane,1
01115,2018,Hurricane,1
01115,2018,Severe Storm,1
01115,2020,Biological,2
01115,2020,Hurricane,1
01117,2003,Severe Storm,2
01117,2004,Hurricane,1
01117,2005,Hurricane,2
01117,2008,Hurricane,1
01117,2011,Severe Storm,2
01117,2017,Hurricane,1
01117,2018,Hurricane,1
01117,2020,Biological,2
01117,2020,Hurricane,1
01117,2021,Severe Storm,1
01117,2022,Severe Storm,1
01119,2004,Hurricane,1
01119,2005,Hurricane,4
01119,2008,Hurricane,1
01119,2011,Severe Storm,2
01119,2017,Hurricane,1
01119,2018,Hurricane,1
01119,2020,Biological,2
01119,2020,Hurricane,1
01119,2023,Severe Storm,1
01121,2002,Severe Storm,1
01121,2003,Severe Storm,2
01121,2004,Hurricane,1
01121,2005,Hurricane,2
01121,2008,Hurricane,1
01121,2011,Severe Storm,2
01121,2017,Hurricane,1
01121,2018,Hurricane,1
01121,2020,Biological,2
01121,2020,Hurricane,1
01121,2021,Hurricane,1
01123,2003,Severe Storm,1
01123,2004,Hurricane,1
01123,2005,Hurricane,2
01123,2008,Hurricane,1
01123,2011,Severe Storm,2
01123,2017,Hurricane,1
01123,2020,Biological,2
01123,2020,Hurricane,1
01123,2020,Severe Storm,1
01123,2023,Severe Storm,2
01125,2000,Severe Storm,1
01125,2001,Severe Storm,2
01125,2003,Severe Storm,2
01125,2004,Hurricane,1
01125,2005,Hurricane,3
01125,2008,Hurricane,1
01125,2011,Severe Storm,2
01125,2014,Severe Storm,1
01125,2017,Hurricane,1
01125,2018,Hurricane,1
01125,2020,Biological,2
01125,2020,Hurricane,1
01125,2020,Severe Storm,1
01127,2001,Severe Storm,1
01127,2003,Severe Storm,2
01127,2004,Hurricane,1
01127,2005,Hurricane,1
01127,2008,Hurricane,1
01127,2010,Severe Storm,1
01127,2011,Severe Storm,2
01127,2016,Severe Storm,1
01127,2017,Hurricane,1
01127,2020,Biological,2
01127,2020,Hurricane,1
01127,2020,Severe Storm,1
01129,2003,Severe Storm,1
01129,2004,Hurricane,1
01129,2005,Hurricane,4
01129,2008,Hurricane,1
01129,2009,Severe Storm,1
01129,2011,Severe Storm,2
01129,2014,Severe Storm,1
01129,2017,Hurricane,1
01129,2018,Hurricane,2
01129,2020,Biological,2
01129,2020,Hurricane,1
01129,2021,Hurricane,1
01131,2004,Hurricane,1
01131,2005,Hurricane,3
01131,2007,Severe Storm,1
01131,2008,Hurricane,1
01131,2009,Severe Storm,1
01131,2011,Severe Storm,2
01131,2017,Hurricane,1
01131,2018,Hurricane,1
01131,2020,Biological,2
01131,2020,Hurricane,1
01131,2020,Severe Storm,1
01131,2021,Hurricane,1
01133,2002,Severe Storm,1
01133,2003,Severe Storm,1
01133,2004,Hurricane,1
01133,2005,Hurricane,2
01133,2008,Hurricane,1
01133,2011,Severe Storm,2
01133,2016,Severe Storm,1
01133,2017,Hurricane,1
01133,2019,Severe Storm,1
01133,2020,Biological,2
01133,2020,Hurricane,1
02000,2001,Fire,1
02000,2002,Flood,4
02000,2003,Severe Storm,2
02000,2004,Fire,5
02000,2011,Flood,2
02000,2020,Biological,25
02013,2000,Severe Storm,1
02013,2020,Biological,3
02016,2005,Severe Storm,1
02016,2016,Severe Storm,1
02016,2020,Biological,6
02016,2022,Severe Storm,1
02020,2000,Severe Storm,1
02020,2003,Severe Storm,1
02020,2019,Earthquake,2
02020,2020,Biological,2
02050,2000,Severe Storm,1
02050,2002,Flood,1
02050,2005,Severe Storm,2
02050,2006,Flood,2
02050,2006,Severe Storm,1
02050,2007,Fire,1
02050,2009,Flood,4
02050,2011,Flood,1
02050,2012,Severe Storm,2
02050,2013,Flood,1
02050,2014,Severe Storm,2
02050,2020,Biological,11
02050,2022,Flood,2
02050,2022,Severe Storm,2
02060,2000,Severe Storm,1
02060,2020,Biological,2
02068,2000,Severe Storm,1
02068,2003,Earthquake,1
02068,2007,Severe Storm,1
02068,2008,Severe Storm,1
02068,2013,Severe Storm,1
02068,2020,Biological,2
02068,2022,Fire,1
02068,2022,Severe Storm,1
02070,2000,Severe Storm,1
02070,2002,Flood,1
02070,2012,Severe Storm,1
02070,2020,Biological,3
02090,2000,Severe Storm,1
02090,2002,Flood,1
02090,2003,Earthquake,1
02090,2004,Fire,1
02090,2008,Severe Storm,1
02090,2011,Fire,1
02090,2014,Severe Storm,1
02090,2019,Fire,1
02090,2020,Biological,3
02090,2022,Severe Storm,1
02100,2020,Biological,2
02100,2021,Mud/Landslide,1
02105,2020,Biological,2
02110,2020,Biological,1
02110,2021,Mud/Landslide,1
02122,2000,Severe Storm,1
02122,2003,Severe Storm,2
02122,2007,Fire,1
02122,2007,Severe Storm,1
02122,2009,Fire,1
02122,2012,Severe Storm,1
02122,2013,Severe Storm,1
02122,2014,Flood,1
02122,2015,Fire,1
02122,2018,Coastal Storm,1
02122,2019,Earthquake,2
02122,2020,Biological,3
02122,2022,Mud/Landslide,1
02122,2022,Severe Storm,1
02130,2020,Biological,2
02150,2000,Severe Storm,1
02150,2003,Severe Storm,1
02150,2010,Severe Storm,1
02150,2020,Biological,2
02158,2020,Biological,1
02164,2000,Severe Storm,1
02164,2020,Biological,2
02170,2000,Severe Storm,1
02170,2002,Flood,1
02170,2003,Earthquake,1
02170,2003,Severe Storm,1
02170,2007,Severe Storm,1
02170,2009,Flood,1
02170,2013,Severe Storm,1
02170,2015,Fire,1
02170,2018,Flood,1
02170,2019,Earthquake,2
02170,2019,Fire,2
02170,2020,Biological,2
02170,2022,Severe Storm,1
02180,2005,Severe Storm,1
02180,2006,Severe Storm,1
02180,2012,Severe Storm,1
02180,2014,Severe Storm,1
02180,2020,Biological,3
02180,2022,Severe Storm,1
02185,2005,Severe Storm,1
02185,2008,Severe Storm,1
02185,2012,Severe Storm,1
02185,2016,Coastal Storm,1
02185,2018,Severe Storm,1
02185,2020,Biological,2
02188,2005,Severe Storm,1
02188,2006,Severe Storm,1
02188,2020,Biological,2
02195,2020,Biological,2
02195,2021,Mud/Landslide,1
02198,2020,Biological,1
02201,2020,Biological,5
02220,2020,Biological,2
02230,2020,Biological,2
02230,2021,Mud/Landslide,1
02240,2000,Severe Storm,1
02240,2003,Earthquake,1
02240,2004,Fire,1
02240,2007,Severe Storm,1
02240,2009,Flood,2
02240,2013,Flood,3
02240,2013,Severe Storm,1
02240,2020,Biological,8
02240,2022,Flood,1
02261,2000,Severe Storm,1
02261,2003,Earthquake,1
02261,2007,Severe Storm,2
02261,2013,Severe Storm,1
02261,2020,Biological,4
02270,2000,Severe Storm,1
02270,2002,Flood,1
02270,2005,Severe Storm,1
02270,2006,Severe Storm,1
02270,2020,Biological,3
