web-scraper-order,web-scraper-start-url,type
"1687171567-11","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","Saturday, June 10, 2023"
"1687171567-12","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","News (2)  Silo:  Cult of Mac —  Silo on Apple TV+ remains most popular series on any streaming service  Latch:  Inman —  Rental proptech Latch locks up new software partnership with AppFolio"
"1687171567-13","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","Friday, June 9, 2023"
"1687171567-14","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","News (4)  GitHub:  The Register —  GitHub accused of varying Copilot output to avoid copyright allegations  Geneyx:  Morningstar, Inc. —  Oxford Nanopore Technologies and Geneyx Announce the First Scalable Software Solution to Advance the Future Clinical Use of Nanopore Sequencing  Zomato  Inc42 —  Zomato Takes Down Controversial ‘Kachra’ Ad, Issues Apology  The Economic Times —  Zomato shares hit a 52-week high on narrowing losses  Okta:  Bloomberg.com —  Software Firm Okta Invests in AI as CEO Warns It’s ‘Too Soon’ for Regulation"
"1687171567-15","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","Thursday, June 8, 2023"
"1687171567-16","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","News (10)  Luminar:  Morningstar, Inc. —  INVESTOR DEADLINE ALERT: The Schall Law Firm Encourages Investors in Luminar Technologies, Inc. with Losses of $100,000 to Contact the Firm  Zomato  TechInAsia —  Zomato shares inch toward IPO price after slow 2022  The Indian Express —  Zomato takes down its casteist ad film after criticism  The Indian Express —  Zomato deletes ‘Kachra’ campaign video after social media backlash  Inc42 —  After Blinkit, Zomato Starts Experimenting With Generative AI 1 More Article  Rev:  Benzinga —  REV Clocks 18% Revenue Growth In Q2 Amid Macro Headwinds  Artist Growth:  Hypebot —  Indie Spotlight: Artist Growth project management solutions  A10 Networks:  Seeking Alpha —  A10 Networks Feels The Pinch Of Slowing Sales Cycles  Maude:  AOL.com —  Yes, You Have to Wash Your Sex Toys—Shop the Best Sex Toy Cleaners Now  Wag:  Winnipeg Free Press —  WAG’s Warhol prints sell for $780,000  Zeelo:  Inside INdiana Business —  Swayzee Loinz planning string of restaurants, starting in Westfield  DigitalOcean:  MarTech Series —  MarTech Interview with Nancy Coleman, SVP of Corporate Communications at DigitalOcean  Enfuce:  Paypers —  Enfuce augments Kvika Bank's payment services in Iceland Show All"
"1687171567-17","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","Wednesday, June 7, 2023"
"1687171567-18","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","Investments (1) Mosaic.tech raised $26,000,000  / Series C from Founders Fund and 4 other investors  News (5)  Pinterest  thefly.com —  Pinterest initiated with an Equal Weight at Wells Fargo  Ad Age —  How Pinterest helps marketers thrive in a cookie-less age  Social Media Today —  Pinterest Launches Next Stage of Data Clean Rooms Trial with Wayfair  Nature  Spinal Cord Journal —  Are you a postdoc working in academia or industry? Share your career experiences with Nature  Spinal Cord Journal —  Why Nature will not allow the use of generative AI in images and video  Landed:  Morningstar, Inc. —  Restaurant Tech Trailblazer Vivian Wang, Founder and CEO of LANDED, Joins Restaurant Technology Network’s Vendor Advisory Board  Bright:  Business Journals —  See where Floridians want Brightline to expand beyond Orlando  Modius:  EIN News —  DCIM Leader Modius®, Announces New Leadership for OpenData® Ryan Scott joins Modius as Vice President, Sales."
"1687171567-19","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","Tuesday, June 6, 2023"
"1687171567-20","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","Acquisition (2) StarCompliance acquired Ethix360 for an undisclosed amount Apple acquired Mira for an undisclosed amount  News (9)  GitHub  PRNewswire UK —  Appdome Partners with GitHub to Automate Delivery of Secure Mobile Apps  The GitHub Blog —  Swift support brings broader mobile application security to GitHub Advanced Security  Oscar Health:  Seeking Alpha —  Oscar Health upgraded at Bank of America on improving outlook  Enfuce  Fintech Finance —  Enfuce and SEB Embedded Partner to Launch Next-Generation Card Programmes  Paypers —  Enfuce partners with SEB Embedded  CopyAI:  Newswire —  Copyleaks Launches First-of-Its-Kind Generative AI Governance, Risk, and Compliance Solution Designed for Enterprise Use  The Dyrt:  PRNewswire —  The Dyrt Announces New Head of Sales Rob Hudson, Formerly of Outside  Maude:  POPSUGAR Love & Sex —  The Top-Rated Sex Toys of 2023  Pinterest:  Benzinga —  Microsoft, Pinterest And 2 Other Stocks Insiders Are Selling  Luminar  barrons.com —  Luminar Partners with Plus to Develop Self-Driving Tech for Big Rigs  TradingView —  Why Luminar Stock Is Rising Today  Violet:  iDownloadBlog.com —  Violet Pro can give Siri on your jailbroken iPhone a lot more character Show All"
"1687171567-21","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","Monday, June 5, 2023"
"1687171567-22","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","News (6)  Terran Orbital:  Business Wire —  Terran Orbital-Developed CAPSTONE Completes Primary Mission  Enfuce:  Fintech Finance —  Enfuce unveils radical brand evolution at Money 20/20  Globality:  SiliconANGLE —  Globality’s chatbot Glo now uses generative AI to enhance procurement processes and lower costs  Castle  Benzinga —  SVB Securities Maintains Outperform on Castle Biosciences, Lowers Price Target to $35  Business Journals —  Castle Hospitality Group President and CEO Alan Mattson to retire  Okta:  SiliconANGLE —  BeyondID launches self-service tool for transition to Okta Identity Engine  Crossbeam:  PRNewswire —  Impartner and Crossbeam Join Forces to Unleash the Power of Collaborative Intelligence in Partner Management Show All"
"1687171567-23","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","Sunday, June 4, 2023"
"1687171567-24","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","News (1)  Maude:  airmail.news —  Check In and Check Out"
"1687171567-25","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","Saturday, June 3, 2023"
"1687171567-26","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","News (3)  Roboteam:  Coinspeaker —  The Success of Meme Coin Presales: Exploring the Presales of Dogetti, Wall Street Memes and RobotEra  Zomato:  The Economic Times —  Food-delivery firms Zomato, Swiggy clock only 7% growth in biz during IPL: report  C2i Genomics:  FierceBiotech —  ASCO: C2i Genomics CEO, CTO aim to create a ‘one-stop shop for precision oncology’"
"1687171567-27","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","Friday, June 2, 2023"
"1687171567-28","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","News (3)  Pinterest  Social Media Today —  Pinterest Outlines Themed Programming for Pride Month  MediaPost.com —  Pinterest Reports Positivity As Key Driver In Consumer Action  Zomato:  mint —  Zomato share price jumps 8% on reports of ONDC discounts revision  GitHub:  Android Police —  Best GitHub tips and tricks for new and old coders"
"1687171567-29","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","Thursday, June 1, 2023"
"1687171567-30","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","News (7)  Okta  ITWeb —  Okta to explain why everything starts with identity at #ITWebSS2023  barrons.com —  S&P 500 Futures Rise in Premarket Trading; Okta, Lucid Group Lag  Benzinga —  Okta Stock Is Tumbling Thursday: What's Going On?  Investing.com —  Macy's, Dollar General, Okta fall premarket; Nordstrom rises Investing.com —  Okta down 20% after earnings, analysts downgrade TechRepublic —  Most people are aware of their data trails, but few know how to deal with it: Okta study barrons.com —  Okta Stock Tanks. The Case Against Buying the Dip. 4 More Articles  Pure Storage  CRN —  Pure Storage CEO: ‘The Days Of Hard Disks Are Coming To An End’  Benzinga —  Why Pure Storage Stock Is Rising Thursday  Kore.ai:  Finovate —  Mphasis Forges Strategic Partnership with Conversational AI Platform Kore.ai  Pinterest:  Social Media Today —  Pinterest Underlines the Power of Positivity for Brand Outreach  Q4:  Business Wire —  Q4 Inc. Announces Appointment of Tim Stahl as Chief Revenue Officer  TicketManager:  Business Wire —  TicketManager Expands Presence to Europe With London Office  UNest:  FinTech Global —  UNest and Wysh to boost financial security for families Show All"
"1687171567-31","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","Wednesday, May 31, 2023"
"1687171567-32","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","Investments (1) NExTNet raised $1,300,000  / Seed from Hike Ventures and 2 other investors  News (7)  UNest:  Coverager - Insurance news and insights —  UNest partners with Wysh Life  A10 Networks:  Globe Newswire —  Global 5G Security Market Report 2023: Players Include Cisco Systems, Allot, Huawei Technologies, A10 Networks and Nokia Networks  Kore.ai:  Crunchbase News —  AI Investing Boom Is Not New To Tech Giants (At Least Not Their VC Arms)  Flytrex:  Forbes —  How Drones Are Shaping The Future Of Ultrafast Delivery Across American Suburbs  Okta  SiliconANGLE —  Okta and CrowdStrike shares plunge on broader macroeconomic concerns  Benzinga —  What's Going On With Okta Shares After Hours?  Pinterest  barrons.com —  Pinterest Has a New CFO. What Wall Street Thinks.  Business Journals —  Pinterest taps Wayfair exec as its next CFO  Pure Storage  Silicon Angle —  Storage veterans Pure Storage and NetApp beat expectations and their stocks jump  MarketWatch —  Results, forecast lift Pure Storage stock after hours Show All"
"1687171567-33","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","Tuesday, May 30, 2023"
"1687171567-34","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","News (6)  Q4:  Business Wire —  Q4 Inc. Set to Transform IR Effectiveness with Generative AI on the Q4 Platform  Castle:  HeraldScotland —  Crossbasket Castle: Luxury Scottish hotel in £15m expansion  Tactile Mobility:  Newswire —  Tactile Mobility Unveils Its Global Cloud-Enhanced Grip Map Solution  Zomato:  mint —  Zomato, Paytm, Policybazaar, Nykaa report positive trends in earnings, but valuation concerns linger  Pinterest  Social Media Today —  Pinterest Announces ‘Manifestival’ Activation for Cannes 2023  MarketWatch —  Julia Brau Donnelly to become Pinterest’s new CFO  Odaseva:  Odaseva —  Odaseva Achieves HITRUST Certification Show All"
"1687171567-35","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","Monday, May 29, 2023"
"1687171567-36","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","News (2)  Archer:  CleanTechnica —  Interview With Archer Aviation  Dave:  Crowdfund Insider —  Neobanking Fintech Dave Members Reportedly Earned $1M+ with Survey Offering"
"1687171567-37","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","Sunday, May 28, 2023"
"1687171567-38","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","News (1)  Zomato:  Inc42 —  Zomato Steals The Spotlight As New-Age Tech Stocks Rally This Week"
"1687171567-39","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","Saturday, May 27, 2023"
"1687171567-40","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","News (2)  Zomato  Startup Around —  Zomato launches its own UPI platform for in-app payments, others expected to follow suit  mint —  Jefferies include Zomato, SBI Life to long-only portfolios, drops HDFC Life  Okta:  The Fintech Times —  Digital Security, Privacy and User Experience Require a ‘No-Compromise Approach’; Urges Okta Report"
"1687171567-41","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","Friday, May 26, 2023"
"1687171567-42","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","News (5)  Terran Orbital:  CNBC —  Bank of America hits spacecraft builder Terran Orbital with rare double downgrade  Flexciton:  EE News —  Time to redefine the UK’s role within the semiconductor industry says Flexciton CEO  Currency:  Irish Times —  Digital media company the Currency triples profit to €300,000  Luminar:  Business Wire —  SHAREHOLDER ACTION ALERT: The Schall Law Firm Encourages Investors in Luminar Technologies, Inc. with Losses of $100,000 to Contact the Firm  ZAGENO:  FinSMES —  Zageno Raises USD33M in Funding"
"1687171567-43","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","Thursday, May 25, 2023"
"1687171567-44","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","Investments (2) ZAGENO raised $33,000,000  / Series Unknown from Capnamic Ventures and 4 other investors Trade Ledger raised £3,000,000  / Debt Financing from Barclays Corporate Banking News (12)  Bitpanda  AltFi —  Coinbase and Bitpanda partner to drive digital asset adoption  Ethereum World News —  Coinbase Inks Licensing Deal To Provide Liquidity And Custody Services To Bitpanda  Q4  Irish Times —  PR firm Q4 bosses get pay package boost as net profit slips 20%  Business Wire —  Q4 Inc. Unveils New Brand and Visual Identity  Maude:  BuzzFeed —  28 Rechargeable Sex Toys With Such Great Reviews, You'll Want Them For Yourself  Celsius Network  Coinspeaker —  Fahrenheit Consortium Wins Bid to Acquire Celsius Network  Business Wire —  US Bitcoin Corp selected to manage restructured mining division of Celsius Network LLC  Trade Ledger  Finextra Research —  Barclays Bank invests £3 million in Trade Ledger  FinTech Global —  Barclays embraces next-generation FinTech with £3m Trade Ledger investment  Kore.ai:  PRNewswire —  Mphasis, Kore.ai Partner to Transform Customer and Employee Experience for Enterprises  Symbl.ai:  Business Wire —  New Symbl.ai Communications Intelligence APIs Use Generative AI to Unlock Breakthrough Outbound Calling Performance  ZAGENO:  Newswire —  ZAGENO Secures $33M Funding to Revolutionize Life Science Research Procurement  Terran Orbital:  Business Wire —  Terran Orbital Announces $37.1 Million Registered Direct Offering  Zomato:  Business Standard India —  Zomato surges 36% in two months on improved operational performance  RecVue:  SalesTech Star —  RecVue Achieves Milestone Revenue Under Management with Agile Monetization Platform  Rev:  Business, Technology, Startups and Science News and Trends in India | IndianWeb2.com —  FUJIFILM India Installs Its High-Speed Digital Color Printing Press Revoria PC 1120 at Megha Enterprises, Okhla Show All"
"1687171567-45","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","Wednesday, May 24, 2023"
"1687171567-46","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","Investments (3) RADAR raised $43,401,385  / Debt FinancingFleet Space Technologies raised A$50,000,000  / Series C from Alumni Ventures and 6 other investors Ductor raised an undisclosed amount  / Corporate Round from TotalEnergies News (11)  Zomato:  Inc42 —  Deepinder Goyal’s ESOPs Cost Zomato INR 143 Cr In H2 FY23  Origin Materials:  Business Wire —  Origin Materials Co-CEOs to Participate in Upcoming Investor Conferences  Dave  GlobalFinTechSeries —  Dave Members Earn More Than $1 Million with New Survey Offering  Food Business News —  Dave’s Gourmet acquires condiments maker  GitHub  newcomer.co —  Former GitHub CTO Jason Warner Raises $26 Million for Foundation Model Code Startup  The GitHub Blog —  How to automate a Microsoft Power Platform deployment using GitHub Actions  Expo  SecurityWeek —  OAuth Vulnerabilities in Widely Used Expo Framework Allowed Account Takeovers  SiliconANGLE —  Security flaws in mobile application developer tool Expo could have exposed users  Ductor:  Business Wire —  Biogas: TotalEnergies Acquires a Stake in Ductor to Jointly Develop New Projects Using Its Innovative Technology  Bright:  Fierce Healthcare —  Startup Florence acquires Zipnosis from Bright Health to build out telehealth services  Exo Therapeutics:  http://www.zdnet.com/ —  Exo Therapeutics announces TBK1 exosite inhibitor program for autoimmune diseases  Core Scientific:  Coin Telegraph —  Core Scientific moves for September bankruptcy exit, expects $46M boost  Bitpanda:  coindesk.com —  Bitpanda Partners With Coinbase to Help Europe’s Banks Offer Crypto to Customers  Kore.ai:  TechCircle —  Mphasis taps Kore.ai to improve contact centre experience Show All"
"1687171567-47","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","Tuesday, May 23, 2023"
"1687171567-48","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","News (7)  Dave:  Deli Market News —  Dave’s Gourmet Acquires Le Bon Magot; David Neuman Comments  Fleet Space Technologies:  SmartCompany —  Fleet Space Technologies’ valuation rockets to $350 million after $50 million Series C  LeanData:  LeanData —  Here’s Why I Chose LeanData Instead of the Competitors  Swiftly:  PRNewswire —  The Save Mart Companies Announces Launch of its Retail Media Network Enabled by Expanded Partnership with Swiftly  Vertical Aerospace:  Pickool —  Vertical Aerospace Bolsters APAC Presence with South Korean Pre-Order  Commsignia:  Business Wire —  Commsignia and Mitsubishi Electric Agree to Partnership for Delivery of Advanced V2X Solutions for Vehicles  GitHub:  The Verge —  Windows Terminal is getting smart AI features thanks to GitHub Copilot Show All"
"1687171567-49","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","Monday, May 22, 2023"
"1687171567-50","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","News (2)  Zomato  NDTV.com —  Zomato Shares Climb 2.55% Post Q4 Earnings  Business Insider India —  Analysts upbeat on Zomato’s profitability after company beats Q4 estimates  mint —  For Zomato, growth is a tall order  mint —  Stocks to Watch: Vodafone Idea, Shree Cements, BPCL, Zomato, JSW Steel 1 More Article  Tia:  Global AgInvesting —  LACERA Increases Stake in TIAA-CREF Global Agriculture II Via $46.4M Secondary Purchase"
"1687171567-51","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","Sunday, May 21, 2023"
"1687171567-52","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","News (2)  Zomato:  Inc42 —  Can Food Delivery Solve Zomato’s Blinkit Problem?  Nufabrx:  Media Post —  Marketing Wearable Meds: Nufabrx Sells the Science"
"1687171567-53","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","Saturday, May 20, 2023"
"1687171567-54","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","News (1)  Zomato:  Startup Around —  Zomato posts impressive earnings"
"1687171567-55","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","Friday, May 19, 2023"
