Year,FIPS,Name,Percentage of family or people whose have income in the last 12 months below poverty level,Median family income (dollars)
2005,17119,"Madison County, Illinois",7.2,57022
2005,17143,"Peoria County, Illinois",8.9,58703
2005,17161,"Rock Island County, Illinois",10.0,50945
2005,17163,"St. Clair County, Illinois",9.0,52740
2005,17167,"Sangamon County, Illinois",8.4,60151
2005,17179,"Tazewell County, Illinois",6.8,56137
2005,17183,"Vermilion County, Illinois",16.6,43809
2005,17197,"Will County, Illinois",4.3,76208
2005,17201,"Winnebago County, Illinois",9.2,53286
2005,18003,"Allen County, Indiana",9.5,57598
2005,18005,"Bartholomew County, Indiana",-999999999.0,55100
2005,18019,"Clark County, Indiana",-999999999.0,53866
2005,18035,"Delaware County, Indiana",11.2,42395
2005,18039,"Elkhart County, Indiana",8.8,53112
2005,18043,"Floyd County, Indiana",8.3,58635
2005,18053,"Grant County, Indiana",14.2,43606
2005,18057,"Hamilton County, Indiana",3.3,90119
2005,18063,"Hendricks County, Indiana",-999999999.0,68365
2005,18067,"Howard County, Indiana",11.1,53347
2005,18081,"Johnson County, Indiana",-999999999.0,62174
2005,18085,"Kosciusko County, Indiana",-999999999.0,53476
2005,18089,"Lake County, Indiana",12.4,52622
2005,18091,"LaPorte County, Indiana",10.0,54182
2005,18095,"Madison County, Indiana",7.8,52080
2005,18097,"Marion County, Indiana",11.5,51295
2005,18105,"Monroe County, Indiana",-999999999.0,52491
2005,18109,"Morgan County, Indiana",-999999999.0,55645
2005,18127,"Porter County, Indiana",7.0,66579
2005,18141,"St. Joseph County, Indiana",8.8,53909
2005,18157,"Tippecanoe County, Indiana",11.9,55879
2005,18163,"Vanderburgh County, Indiana",8.3,52254
2005,18167,"Vigo County, Indiana",11.9,46671
2005,18177,"Wayne County, Indiana",-999999999.0,46158
2005,19013,"Black Hawk County, Iowa",8.3,50963
2005,19061,"Dubuque County, Iowa",-999999999.0,56515
2005,19103,"Johnson County, Iowa",10.3,60526
2005,19113,"Linn County, Iowa",9.0,61372
2005,19153,"Polk County, Iowa",4.4,64084
2005,19155,"Pottawattamie County, Iowa",9.3,53768
2005,19163,"Scott County, Iowa",8.9,59685
2005,19169,"Story County, Iowa",-999999999.0,62395
2005,19193,"Woodbury County, Iowa",12.5,50805
2005,20045,"Douglas County, Kansas",-999999999.0,57572
2005,20091,"Johnson County, Kansas",3.5,81105
2005,20103,"Leavenworth County, Kansas",-999999999.0,65123
2005,20173,"Sedgwick County, Kansas",10.6,52556
2005,20177,"Shawnee County, Kansas",9.2,56136
2005,20209,"Wyandotte County, Kansas",17.1,40243
2005,21015,"Boone County, Kentucky",8.0,67137
2005,21029,"Bullitt County, Kentucky",-999999999.0,54213
2005,21037,"Campbell County, Kentucky",11.4,59278
2005,21047,"Christian County, Kentucky",-999999999.0,37596
2005,21059,"Daviess County, Kentucky",13.6,47117
2005,21067,"Fayette County, Kentucky",9.8,60067
2005,21093,"Hardin County, Kentucky",12.6,49956
2005,21111,"Jefferson County, Kentucky",10.5,53493
2005,21117,"Kenton County, Kentucky",8.0,58526
2005,21151,"Madison County, Kentucky",-999999999.0,46348
2005,21195,"Pike County, Kentucky",-999999999.0,39829
2005,21227,"Warren County, Kentucky",-999999999.0,53033
2005,22005,"Ascension Parish, Louisiana",-999999999.0,58225
2005,22015,"Bossier Parish, Louisiana",11.1,56688
2005,22017,"Caddo Parish, Louisiana",17.3,43206
2005,22019,"Calcasieu Parish, Louisiana",15.5,43329
2005,22033,"East Baton Rouge Parish, Louisiana",15.5,54551
2005,22045,"Iberia Parish, Louisiana",20.6,44668
2005,22051,"Jefferson Parish, Louisiana",12.3,53341
2005,22055,"Lafayette Parish, Louisiana",13.3,52877
2005,22057,"Lafourche Parish, Louisiana",8.5,46680
2005,22063,"Livingston Parish, Louisiana",-999999999.0,54384
2005,22071,"Orleans Parish, Louisiana",21.8,39428
2005,22073,"Ouachita Parish, Louisiana",19.5,39876
2005,22079,"Rapides Parish, Louisiana",17.0,42692
2005,22087,"St. Bernard Parish, Louisiana",-999999999.0,44788
2005,22097,"St. Landry Parish, Louisiana",29.0,31549
2005,22103,"St. Tammany Parish, Louisiana",8.7,61926
2005,22105,"Tangipahoa Parish, Louisiana",19.2,42478
2005,22109,"Terrebonne Parish, Louisiana",13.3,45809
2005,23001,"Androscoggin County, Maine",-999999999.0,49950
2005,23003,"Aroostook County, Maine",10.3,42661
2005,23005,"Cumberland County, Maine",8.0,62239
2005,23011,"Kennebec County, Maine",11.7,54145
2005,23019,"Penobscot County, Maine",6.8,51108
2005,23031,"York County, Maine",7.0,60345
2005,24001,"Allegany County, Maryland",-999999999.0,41043
2005,24003,"Anne Arundel County, Maryland",3.6,83237
2005,24005,"Baltimore County, Maryland",4.2,69479
2005,24009,"Calvert County, Maryland",-999999999.0,93842
2005,24013,"Carroll County, Maryland",-999999999.0,84749
2005,24015,"Cecil County, Maryland",-999999999.0,64515
2005,24017,"Charles County, Maryland",4.4,83892
2005,24021,"Frederick County, Maryland",2.7,86722
2005,24025,"Harford County, Maryland",5.0,75337
2005,24027,"Howard County, Maryland",2.7,103390
2005,24031,"Montgomery County, Maryland",2.8,98662
2005,24033,"Prince George's County, Maryland",7.1,74767
2005,24037,"St. Mary's County, Maryland",-999999999.0,71724
2005,24043,"Washington County, Maryland",4.7,56099
2005,24045,"Wicomico County, Maryland",-999999999.0,56056
2005,24510,"Baltimore city, Maryland",18.9,41542
2005,25001,"Barnstable County, Massachusetts",5.0,68290
2005,25003,"Berkshire County, Massachusetts",7.3,59862
2005,25005,"Bristol County, Massachusetts",8.7,64809
2005,25009,"Essex County, Massachusetts",9.1,72891
2005,25011,"Franklin County, Massachusetts",7.8,59267
2005,25013,"Hampden County, Massachusetts",14.2,55067
2005,25015,"Hampshire County, Massachusetts",-999999999.0,65681
2005,25017,"Middlesex County, Massachusetts",5.3,83864
2005,25021,"Norfolk County, Massachusetts",3.2,87121
2005,25023,"Plymouth County, Massachusetts",4.1,76848
2005,25025,"Suffolk County, Massachusetts",16.1,50338
2005,25027,"Worcester County, Massachusetts",7.0,69179
2005,26005,"Allegan County, Michigan",7.8,52798
2005,26017,"Bay County, Michigan",7.8,51393
2005,26021,"Berrien County, Michigan",15.7,48447
2005,26025,"Calhoun County, Michigan",11.1,49765
2005,26037,"Clinton County, Michigan",4.9,69027
2005,26045,"Eaton County, Michigan",7.6,58521
2005,26049,"Genesee County, Michigan",12.2,54321
2005,26055,"Grand Traverse County, Michigan",-999999999.0,60640
2005,26065,"Ingham County, Michigan",11.5,58190
2005,26073,"Isabella County, Michigan",13.8,47734
2005,26075,"Jackson County, Michigan",11.7,56885
2005,26077,"Kalamazoo County, Michigan",10.2,58158
2005,26081,"Kent County, Michigan",8.9,57310
2005,26087,"Lapeer County, Michigan",-999999999.0,58867
2005,26091,"Lenawee County, Michigan",5.7,56238
2005,26093,"Livingston County, Michigan",-999999999.0,84840
2005,26099,"Macomb County, Michigan",6.9,64676
2005,26111,"Midland County, Michigan",9.3,60013
2005,26115,"Monroe County, Michigan",8.3,65542
2005,26121,"Muskegon County, Michigan",11.7,51089
2005,26125,"Oakland County, Michigan",4.8,81239
2005,26139,"Ottawa County, Michigan",4.1,65422
2005,26145,"Saginaw County, Michigan",12.4,49359
2005,26147,"St. Clair County, Michigan",7.1,59276
2005,26155,"Shiawassee County, Michigan",-999999999.0,52228
2005,26159,"Van Buren County, Michigan",14.8,48396
2005,26161,"Washtenaw County, Michigan",7.8,73551
2005,26163,"Wayne County, Michigan",16.1,50704
2005,27003,"Anoka County, Minnesota",4.7,70873
2005,27019,"Carver County, Minnesota",-999999999.0,82982
2005,27037,"Dakota County, Minnesota",4.1,78435
2005,27053,"Hennepin County, Minnesota",7.0,74206
2005,27109,"Olmsted County, Minnesota",4.9,71611
2005,27123,"Ramsey County, Minnesota",9.3,64990
2005,27137,"St. Louis County, Minnesota",7.5,52305
2005,27139,"Scott County, Minnesota",-999999999.0,86398
2005,27141,"Sherburne County, Minnesota",-999999999.0,68855
2005,27145,"Stearns County, Minnesota",4.6,57240
2005,27163,"Washington County, Minnesota",2.5,83644
2005,27171,"Wright County, Minnesota",-999999999.0,69466
2005,28033,"DeSoto County, Mississippi",6.6,55979
2005,28035,"Forrest County, Mississippi",-999999999.0,34156
2005,28047,"Harrison County, Mississippi",10.7,47672
2005,28049,"Hinds County, Mississippi",16.0,46622
2005,28059,"Jackson County, Mississippi",14.8,47003
2005,28067,"Jones County, Mississippi",24.5,33016
2005,28075,"Lauderdale County, Mississippi",-999999999.0,44889
2005,28081,"Lee County, Mississippi",13.6,50842
2005,28089,"Madison County, Mississippi",-999999999.0,62904
2005,28121,"Rankin County, Mississippi",5.0,57987
2005,29019,"Boone County, Missouri",11.3,54273
2005,29021,"Buchanan County, Missouri",10.0,48469
2005,29031,"Cape Girardeau County, Missouri",-999999999.0,49779
2005,29037,"Cass County, Missouri",7.6,63911
2005,29043,"Christian County, Missouri",-999999999.0,53814
2005,29047,"Clay County, Missouri",5.9,62461
2005,29051,"Cole County, Missouri",-999999999.0,62710
2005,29071,"Franklin County, Missouri",7.2,52071
2005,29077,"Greene County, Missouri",9.4,50503
2005,29095,"Jackson County, Missouri",10.6,53402
2005,29097,"Jasper County, Missouri",13.7,40531
2005,29099,"Jefferson County, Missouri",8.8,58586
2005,29165,"Platte County, Missouri",-999999999.0,73779
2005,29183,"St. Charles County, Missouri",3.2,73614
2005,29189,"St. Louis County, Missouri",6.3,69340
2005,29510,"St. Louis city, Missouri",21.9,36282
2005,30013,"Cascade County, Montana",8.7,47563
2005,30029,"Flathead County, Montana",-999999999.0,44882
2005,30031,"Gallatin County, Montana",-999999999.0,55333
2005,30063,"Missoula County, Montana",10.6,50736
2005,30111,"Yellowstone County, Montana",10.4,51469
2005,31055,"Douglas County, Nebraska",10.4,59623
2005,31109,"Lancaster County, Nebraska",7.7,61019
2005,31153,"Sarpy County, Nebraska",4.5,71194
2005,32003,"Clark County, Nevada",8.7,56886
2005,32031,"Washoe County, Nevada",8.3,60354
2005,33005,"Cheshire County, New Hampshire",-999999999.0,62399
2005,33009,"Grafton County, New Hampshire",-999999999.0,59967
2005,33011,"Hillsborough County, New Hampshire",5.6,73224
2005,33013,"Merrimack County, New Hampshire",4.8,65077
2005,33015,"Rockingham County, New Hampshire",3.2,74827
2005,33017,"Strafford County, New Hampshire",8.6,61571
2005,34001,"Atlantic County, New Jersey",6.3,61240
2005,34003,"Bergen County, New Jersey",4.0,90448
2005,34005,"Burlington County, New Jersey",3.8,80105
2005,34007,"Camden County, New Jersey",10.2,63486
2005,34009,"Cape May County, New Jersey",-999999999.0,59679
2005,34011,"Cumberland County, New Jersey",12.6,53074
2005,34013,"Essex County, New Jersey",12.3,62122
2005,34015,"Gloucester County, New Jersey",4.8,76864
2005,34017,"Hudson County, New Jersey",15.0,47071
2005,34019,"Hunterdon County, New Jersey",-999999999.0,106167
2005,34021,"Mercer County, New Jersey",5.8,80637
2005,34023,"Middlesex County, New Jersey",5.4,79613
2005,34025,"Monmouth County, New Jersey",4.4,92080
2005,34027,"Morris County, New Jersey",1.7,100971
2005,34029,"Ocean County, New Jersey",5.7,64868
2005,34031,"Passaic County, New Jersey",13.1,58585
2005,34033,"Salem County, New Jersey",7.8,61928
2005,34035,"Somerset County, New Jersey",2.6,105872
2005,34037,"Sussex County, New Jersey",-999999999.0,86536
2005,34039,"Union County, New Jersey",6.8,76554
2005,34041,"Warren County, New Jersey",3.3,74637
2005,35001,"Bernalillo County, New Mexico",10.0,54925
2005,35013,"Dona Ana County, New Mexico",21.7,34168
2005,35031,"McKinley County, New Mexico",-999999999.0,31365
2005,35043,"Sandoval County, New Mexico",8.7,52761
2005,35045,"San Juan County, New Mexico",12.0,43178
2005,35049,"Santa Fe County, New Mexico",9.2,49891
2005,35061,"Valencia County, New Mexico",17.8,45445
2005,36001,"Albany County, New York",8.3,65880
2005,36005,"Bronx County, New York",27.0,33460
2005,36007,"Broome County, New York",13.5,47057
2005,36009,"Cattaraugus County, New York",8.6,45892
2005,36011,"Cayuga County, New York",7.9,51277
2005,36013,"Chautauqua County, New York",12.1,46357
2005,36015,"Chemung County, New York",11.2,47742
2005,36019,"Clinton County, New York",-999999999.0,55041
2005,36027,"Dutchess County, New York",4.6,74397
2005,36029,"Erie County, New York",10.1,56305
2005,36045,"Jefferson County, New York",10.5,47166
2005,36047,"Kings County, New York",20.1,43328
2005,36053,"Madison County, New York",-999999999.0,51511
2005,36055,"Monroe County, New York",10.2,57941
2005,36059,"Nassau County, New York",4.0,91349
2005,36061,"New York County, New York",15.1,65479
2005,36063,"Niagara County, New York",7.3,55049
2005,36065,"Oneida County, New York",12.6,49717
2005,36067,"Onondaga County, New York",9.8,58487
2005,36069,"Ontario County, New York",2.5,60599
2005,36071,"Orange County, New York",8.3,71455
2005,36075,"Oswego County, New York",12.9,47432
2005,36079,"Putnam County, New York",-999999999.0,88068
2005,36081,"Queens County, New York",9.5,55121
2005,36083,"Rensselaer County, New York",9.3,60576
2005,36085,"Richmond County, New York",9.4,71359
2005,36087,"Rockland County, New York",7.8,90947
2005,36089,"St. Lawrence County, New York",13.9,44694
2005,36091,"Saratoga County, New York",4.6,69458
2005,36093,"Schenectady County, New York",9.7,55142
2005,36101,"Steuben County, New York",10.0,46579
2005,36103,"Suffolk County, New York",3.4,86677
2005,36105,"Sullivan County, New York",-999999999.0,56971
2005,36109,"Tompkins County, New York",10.0,62080
2005,36111,"Ulster County, New York",8.7,60362
2005,36113,"Warren County, New York",-999999999.0,59424
2005,36117,"Wayne County, New York",-999999999.0,61385
2005,36119,"Westchester County, New York",6.0,90358
2005,37001,"Alamance County, North Carolina",10.5,47185
2005,37019,"Brunswick County, North Carolina",-999999999.0,43959
2005,37021,"Buncombe County, North Carolina",7.4,51264
2005,37023,"Burke County, North Carolina",-999999999.0,41525
2005,37025,"Cabarrus County, North Carolina",7.2,58072
2005,37027,"Caldwell County, North Carolina",12.8,43119
2005,37035,"Catawba County, North Carolina",10.4,51323
2005,37045,"Cleveland County, North Carolina",15.9,44436
2005,37049,"Craven County, North Carolina",-999999999.0,48316
2005,37051,"Cumberland County, North Carolina",15.7,45291
2005,37057,"Davidson County, North Carolina",10.2,46811
2005,37063,"Durham County, North Carolina",9.4,55023
2005,37067,"Forsyth County, North Carolina",10.7,55176
2005,37071,"Gaston County, North Carolina",10.9,44184
2005,37081,"Guilford County, North Carolina",12.0,54727
2005,37085,"Harnett County, North Carolina",12.5,47362
2005,37089,"Henderson County, North Carolina",-999999999.0,44157
2005,37097,"Iredell County, North Carolina",10.3,50560
2005,37101,"Johnston County, North Carolina",9.0,52538
2005,37109,"Lincoln County, North Carolina",-999999999.0,49067
2005,37119,"Mecklenburg County, North Carolina",8.8,62267
2005,37125,"Moore County, North Carolina",-999999999.0,46345
2005,37127,"Nash County, North Carolina",12.9,49640
2005,37129,"New Hanover County, North Carolina",7.9,58211
2005,37133,"Onslow County, North Carolina",15.6,44956
2005,37135,"Orange County, North Carolina",-999999999.0,69934
2005,37147,"Pitt County, North Carolina",15.4,46409
2005,37151,"Randolph County, North Carolina",12.8,42972
2005,37155,"Robeson County, North Carolina",26.8,33897
2005,37157,"Rockingham County, North Carolina",10.6,41835
2005,37159,"Rowan County, North Carolina",12.7,47878
2005,37171,"Surry County, North Carolina",12.8,41062
2005,37179,"Union County, North Carolina",8.3,56228
2005,37183,"Wake County, North Carolina",6.9,72447
2005,37191,"Wayne County, North Carolina",13.8,44422
2005,37193,"Wilkes County, North Carolina",12.7,40791
2005,37195,"Wilson County, North Carolina",15.6,41311
2005,38015,"Burleigh County, North Dakota",-999999999.0,59691
2005,38017,"Cass County, North Dakota",7.9,59370
2005,38035,"Grand Forks County, North Dakota",-999999999.0,56868
2005,39003,"Allen County, Ohio",10.6,48830
2005,39007,"Ashtabula County, Ohio",12.6,44786
2005,39013,"Belmont County, Ohio",12.9,43265
2005,39017,"Butler County, Ohio",8.2,57471
2005,39023,"Clark County, Ohio",13.5,48739
2005,39025,"Clermont County, Ohio",5.8,60315
2005,39029,"Columbiana County, Ohio",15.1,45590
2005,39035,"Cuyahoga County, Ohio",13.7,52719
2005,39041,"Delaware County, Ohio",2.9,86622
2005,39043,"Erie County, Ohio",-999999999.0,48857
2005,39045,"Fairfield County, Ohio",6.3,62090
2005,39049,"Franklin County, Ohio",10.5,56807
2005,39055,"Geauga County, Ohio",-999999999.0,80844
2005,39057,"Greene County, Ohio",6.4,69737
2005,39061,"Hamilton County, Ohio",10.3,59539
2005,39063,"Hancock County, Ohio",-999999999.0,55757
2005,39081,"Jefferson County, Ohio",11.4,46189
2005,39085,"Lake County, Ohio",6.7,58327
2005,39089,"Licking County, Ohio",7.1,61123
2005,39093,"Lorain County, Ohio",9.6,60776
2005,39095,"Lucas County, Ohio",13.3,51719
2005,39099,"Mahoning County, Ohio",10.3,47903
2005,39101,"Marion County, Ohio",11.2,44348
2005,39103,"Medina County, Ohio",-999999999.0,70380
2005,39109,"Miami County, Ohio",-999999999.0,55741
2005,39113,"Montgomery County, Ohio",12.0,51319
2005,39119,"Muskingum County, Ohio",11.5,45719
2005,39133,"Portage County, Ohio",8.0,61482
2005,39139,"Richland County, Ohio",7.9,49680
2005,39141,"Ross County, Ohio",-999999999.0,46149
2005,39145,"Scioto County, Ohio",19.8,37174
2005,39151,"Stark County, Ohio",9.2,51012
2005,39153,"Summit County, Ohio",8.9,55952
2005,39155,"Trumbull County, Ohio",8.2,50711
2005,39157,"Tuscarawas County, Ohio",5.1,46347
2005,39165,"Warren County, Ohio",3.6,71964
2005,39169,"Wayne County, Ohio",9.1,53556
2005,39173,"Wood County, Ohio",-999999999.0,61986
2005,40017,"Canadian County, Oklahoma",6.1,58103
2005,40027,"Cleveland County, Oklahoma",6.8,57895
