,Organization Name,Industries,Headquarters Location,Description,CB Rank (Company),Monthly Visits,Operating Status,Closed Date,Website,Twitter,LinkedIn,Founders,Acquisition Status,Acquired by
14,Affinity,"Analytics, Artificial Intelligence, Business Development, Business Intelligence, Contact Management, CRM, Enterprise Software, Lead Generation","San Francisco, California, United States",Affinity is a relationship intelligence platform built to expand and evolve the traditional CRM.,706,"162,653",Active,—,affinity.co/,View on Twitter,View on LinkedIn,"Drew Oetting, Ray Zhou, Shubham Goel",Made Acquisitions,—
15,Cleo,"Employee Benefits, Family, Health Care","San Francisco, California, United States",Cleo is a benefits platform that provides personalized guidance for working families.,757,"31,462",Active,—,hicleo.com/,View on Twitter,View on LinkedIn,"Chitra Akileswaran, Shannon Spanhake",Made Acquisitions,—
16,Thirty Madison,"Health Care, Personal Health, Pharmaceutical, Wellness","New York, New York, United States",Thirty Madison is a family of specialized healthcare brands creating exceptional outcomes for all.,839,"46,576",Active,—,www.thirtymadison.com,View on Twitter,View on LinkedIn,"Demetri Karagas, Steven Gutentag",Made Acquisitions,—
17,Well,"Artificial Intelligence, Health Care, mHealth, Wellness","Chapel Hill, North Carolina, United States",Well is a health technology company that provides access to trusted health partners.,924,"5,230",Active,—,www.well.co/,View on Twitter,View on LinkedIn,"David Werry, Gary Loveman",—,—
18,Altruist,"Asset Management, Financial Services, FinTech","Culver City, California, United States",Altruist is a digital investment platform that offers commission-free trading and financial advice to individuals.,949,"132,285",Active,—,altruist.com,View on Twitter,View on LinkedIn,Jason Wenk,Made Acquisitions,—
19,Elliptic,"Bitcoin, Blockchain, Finance","London, England, United Kingdom",Elliptic makes cryptocurrency transaction activity more transparent and accountable.,956,"27,642",Active,—,www.elliptic.co/,View on Twitter,View on LinkedIn,"Adam Joyce, James Smith, Tom Robinson",—,—
20,Obie,"Commercial Insurance, Commercial Real Estate, Insurance, InsurTech, Real Estate","Chicago, Illinois, United States",Obie is an insurtech startup that offers insurance and risk management for real estate investors.,"1,028","21,310",Active,—,www.ObieInsurance.com,View on Twitter,View on LinkedIn,"Aaron Letzeiser, Ryan Letzeiser",Made Acquisitions,—
21,Carbon,"3D Printing, 3D Technology, Hardware, Manufacturing, Product Design","Redwood City, California, United States","Carbon is a company that provides high-tech, waste reducing 3D printing services.","1,040","58,281",Active,—,www.carbon3d.com,View on Twitter,View on LinkedIn,"Joseph M. DeSimone, Philip DeSimone",Made Acquisitions,—
22,Rally,"Collectibles, E-Commerce, Financial Services, FinTech, Service Industry","New York, New York, United States",Rally is a Buying And Selling Platform.,"1,071","35,354",Active,—,www.rallyrd.com,View on Twitter,View on LinkedIn,"Christopher Bruno, Maximilian Niederste-Ostholt, Rob Petrozzo",—,—
23,Augury,"Analytics, Artificial Intelligence, Industrial, Industrial Manufacturing, Machine Learning, Machinery Manufacturing, Manufacturing","New York, New York, United States",Augury provides machine health diagnostics designed to help reduce downtime and increase supply chain resilience.,"1,092","24,708",Active,—,www.augury.com,View on Twitter,View on LinkedIn,"Gal Shaul, Saar Yoskovitz",Made Acquisitions,—
24,Tenable,"Compliance, Network Security, Risk Management, Security","Columbia, Maryland, United States",Tenable helps organizations to understand and reduce their cybersecurity risk across the full range of modern computing assets.,"1,146","1,385,482",Active,—,www.tenable.com,View on Twitter,View on LinkedIn,"Jack Huffard, Renaud Deraison, Ron Gula",Made Acquisitions,—
25,Bright Health Group,"Financial Services, Health Care, Health Insurance, Insurance","Minneapolis, Minnesota, United States","Bright Health Group offers health insurance, health care, and financial services.","1,194","11,614",Active,—,brighthealthgroup.com,—,View on LinkedIn,"Kyle Rolfing, Robert John Sheehy",—,—
26,Paradox,"Artificial Intelligence, Human Resources, Information Technology, Machine Learning","Scottsdale, Arizona, United States","Paradox is an AI company that helps companies capture and screen candidates, improve conversions, and answer all candidate questions.","1,420","2,678,969",Active,—,www.paradox.ai,View on Twitter,View on LinkedIn,Aaron Matos,Made Acquisitions,—
27,Corvus Insurance,"Artificial Intelligence, Cyber Security, Insurance, InsurTech","Boston, Massachusetts, United States",Corvus Insurance provides AI-driven commercial insurance that allows brokers and policyholders to predict and prevent risk.,"1,439","14,341",Active,—,www.corvusinsurance.com/,View on Twitter,View on LinkedIn,"James McElhiney, Mike Lloyd, Philip Edmundson",Made Acquisitions,—
28,Platform Science,"Computer, Fleet Management, SaaS, Software, Transportation","San Diego, California, United States",Platform Science develops a platform for on-vehicle mobile applications that offers fleet management software solutions.,"1,509","43,761",Active,—,www.platformscience.com/,View on Twitter,View on LinkedIn,"Jack Kennedy, Jake Fields",—,—
29,Notable,"Artificial Intelligence, Health Care, Health Diagnostics, Information Services, Software","San Mateo, California, United States",Notable is an AI-powered health start-up that automates and digitizes every physician-patient interaction.,"1,591","8,192",Active,—,notablehealth.com/,View on Twitter,View on LinkedIn,Justin White,—,—
30,Roll,"Apps, Blockchain, Cryptocurrency, Ethereum, Information Technology","New York, New York, United States",Roll builds social token infrastructure for the creator economy.,"1,595","7,916",Active,—,www.tryroll.com,View on Twitter,View on LinkedIn,"Bradley Miles, Sid Kalla",—,—
31,Mast Reforestation,"CleanTech, Drones, Environmental Engineering, Forestry, Impact Investing, Industrial Automation, Natural Resources, Renewable Energy, Robotics, Social Impact","Seattle, Washington, United States",Mast Reforestation is the only vertically integrated reforestation company in the U.S that restores forestland damaged by wildfires.,"1,624","8,099",Active,—,mastreforest.com/,View on Twitter,View on LinkedIn,"Grant Canary, Ryan Mykita",Made Acquisitions,—
32,TheGuarantors,"Credit, FinTech, InsurTech, Real Estate","New York, New York, United States",TheGuarantors is a FinTech company that offers innovative risk and financial solutions for the real estate ecosystem.,"1,639","145,723",Active,—,www.theguarantors.com,View on Twitter,View on LinkedIn,"Bob Schmidt, Clement Miglietti, Julien Bonneville",—,—
33,Expensya,"Accounting, FinTech, SaaS, Software","Paris, Ile-de-France, France",Expensya provides software designed to automate expense management for businesses.,"1,703","90,466",Active,—,www.expensya.com,View on Twitter,View on LinkedIn,"Jihed Othmani, Karim Jouini",Was Acquired,Medius
34,Groove,"Direct Sales, Sales, Sales Automation, Software","San Francisco, California, United States",Groove is the first sales engagement platform to enable sales leaders to make sales strategy actionable.,"1,708","77,200",Active,—,www.groove.co/,View on Twitter,View on LinkedIn,"Alexander Kerschhofer, Austin Wang, Chris Rothstein",—,—
35,Density,"Analytics, Electronics, Sensor, Software, Test and Measurement","San Francisco, California, United States","Density builds the technical infrastructure for cities, buildings, and spaces to measure how they're used.","1,877","5,197",Active,—,www.density.io/,View on Twitter,View on LinkedIn,"Andrew Farah, Ben Redfield, Brian Weinreich, Jordan Messina, Robert Grazioli, Steven VonDeak",Made Acquisitions,—
36,Cyware,"Cloud Security, Cyber Security, Information Technology, Security","New York, New York, United States",Cyware Labs provides cyber fusion solutions to help businesses detect and stop cyberattacks.,"1,868","65,974",Active,—,www.cyware.com/,View on Twitter,View on LinkedIn,"Akshat Jain, Anuj Goel",—,—
37,OpenGov,"Data Visualization, Enterprise Software, GovTech, SaaS, Software","San Jose, California, United States","OpenGov is the leader in modern cloud software for our nation’s cities, counties, and state agencies.","1,871","174,644",Active,—,opengov.com,View on Twitter,View on LinkedIn,"Dakin Sloss, Joe Lonsdale, Mike Rosengarten, Nate Levine, Zac Bookman",Made Acquisitions,—
38,Berkshire Grey,"Artificial Intelligence, Industrial Automation, Robotics, Software","Bedford, Massachusetts, United States",Berkshire Grey develops a materials handling system intended to automate omnichannel fulfillment.,"1,911","124,967",Active,—,www.berkshiregrey.com,View on Twitter,View on LinkedIn,Tom Wagner,Was Acquired,SoftBank Group
39,Swan,"Banking, Financial Services, FinTech","Paris, Ile-de-France, France",Swan is the easiest way to embed banking features into any digital product.,"1,952","149,829",Active,—,swan.io/,View on Twitter,View on LinkedIn,"Mathieu Breton, Nicolas Benady, Nicolas Saison",—,—
40,Clover Health,"Health Care, Health Insurance, Hospital, Medical","Nashville, Tennessee, United States",Clover is a healthcare technology company helping members live their healthiest lives with its Medicare Advantage plans.,"1,969","113,210",Active,—,cloverhealth.com,View on Twitter,View on LinkedIn,"Kris Gale, Vivek Garipalli",—,—
41,Nexar,"Artificial Intelligence, Automotive, Autonomous Vehicles, Image Recognition, Sensor, Software, Transportation","New York, New York, United States",Nexar develops software to protect the user and their business against car crashes and road casualties.,"2,007","166,012",Active,—,getnexar.com/,View on Twitter,View on LinkedIn,"Bruno Fernandez-Ruiz, Eran Shir",Made Acquisitions,—
42,Akili Interactive Labs,"Biotechnology, Health Care, Medical, Neuroscience, Service Industry, Therapeutics","Boston, Massachusetts, United States",Akili Interactive Labs Provides Healthcare Treatments.,"2,068","41,956",Active,—,www.akiliinteractive.com,View on Twitter,View on LinkedIn,"Adam Gazzaley, Eddie Martucci, Matthew Omernick",—,—
43,Dexterity,"Artificial Intelligence, Logistics, Robotics, Supply Chain Management, Warehousing","Redwood City, California, United States","Dexterity provides robotic systems solutions for logistics, warehouses, and supply chain.","2,103","52,669",Active,—,www.dexterity.ai,—,View on LinkedIn,Samir Menon,—,—
44,SOPHiA GENETICS,"Artificial Intelligence, Big Data, Bioinformatics, Biotechnology, Genetics, Health Care, Life Science, Medical","Boston, Massachusetts, United States",SOPHiA GENETICS is a biotechnology firm that aims to support healthcare professionals by maximizing the power of data-driven medicine.,"2,113","50,624",Active,—,www.sophiagenetics.com,View on Twitter,View on LinkedIn,"Jurgi Camblong, Lars Steinmetz, Pierre Hutter",Made Acquisitions,—
45,Parsley Health,"Health Care, Health Diagnostics, Medical","New York, New York, United States","Parsley Health is redesigning primary care by integrating the latest in medical testing, technology and nutrition research.","2,125","221,134",Active,—,parsleyhealth.com/,View on Twitter,View on LinkedIn,"Joel Wishkovsky, Robin Berzin",—,—
46,Luma Health,"Apps, Electronic Health Record (EHR), Health Care, mHealth, Scheduling, Unified Communications","San Mateo, California, United States","Luma Health offers patient access, revenue cycle management, and patient relationship management.","2,276","273,513",Active,—,www.lumahealth.io/,View on Twitter,View on LinkedIn,"Aditya Bansod, Adnan Iqbal, Tashfeen Ekram",—,—
47,Kaia Health,"Health Care, Machine Learning, Medical, Therapeutics","Brooklyn, New York, United States",Kaia Health is a digital therapeutics company that creates evidence-based treatments for a range of medical disorders.,"2,504","36,163",Active,—,www.kaiahealth.com,View on Twitter,View on LinkedIn,"Konstantin Mehl, Manuel Thurner",—,—
48,Virta Health,"Diabetes, Health Care, Medical, Personal Health","San Francisco, California, United States",Virta delivers a clinically-proven treatment to reverse type 2 diabetes and other chronic metabolic diseases.,"2,518","399,126",Active,—,virtahealth.com,View on Twitter,View on LinkedIn,Sami Inkinen,—,—
49,Rize,"Apps, Finance, Financial Services, FinTech","Arlington, Virginia, United States","Rize creates customer-centric financial solutions for Fintechs, incumbents, and non-financial brands.","2,522","2,148",Active,—,rizefs.com,View on Twitter,View on LinkedIn,"Justin Howell, Kirk Voltz, Mizel Djukic, RIshi Kumar",Was Acquired,Fifth Third Bank
50,Imprint,"Finance, Financial Services, Payments","New York, New York, United States","Imprint is a financial service company building the future of payments, rewards, and loyalty services.","2,559","845,113",Active,—,www.imprint.co,View on Twitter,View on LinkedIn,"Daragh Murphy, Michael Pechman",—,—
51,Sisu,"Analytics, Artificial Intelligence, Big Data, Business Intelligence, Machine Learning, Software","San Francisco, California, United States",Sisu is a decision intelligence engine that delivers insights and monitors metrics for businesses to make the right business decisions.,"2,641","10,781",Active,—,sisudata.com,View on Twitter,View on LinkedIn,Peter Bailis,—,—
52,Electrum,"E-Commerce, Electric Vehicle, Energy, Marketplace, Renewable Energy, Solar","Los Angeles, California, United States","Electrum is an online marketplace for homeowners to find competitive offers on home solar, battery, and electrification products.","2,668","125,136",Active,—,electrum.co,—,View on LinkedIn,"Chris Blevins, Max Aram",Made Acquisitions,—
53,Flock Freight,"Freight Service, Logistics, Shipping, Software, Transportation","Encinitas, California, United States",Flock Freight uses algorithmic pooling technology to allow less-than-truckload shippers to share trailer space in one full truckload.,"2,736","323,466",Active,—,www.flockfreight.com,View on Twitter,View on LinkedIn,Oren Zaslansky,—,—
54,Trax,"Analytics, Artificial Intelligence, Computer Vision, E-Commerce, Image Recognition, Retail Technology","Singapore, Central Region, Singapore","Trax provides in-store execution tools, market measurement services, and data science solutions for retail.","2,768","43,666",Active,—,traxretail.com/,View on Twitter,View on LinkedIn,"Dror Feldheim, Joel Bar-El",Made Acquisitions,—
55,Robust Intelligence,"Artificial Intelligence, Enterprise Software, Machine Learning, Software, Software Engineering","San Francisco, California, United States",Robust Intelligence eliminates AI Failures by detecting model vulnerabilities and automatically preventing bad outcomes.,"2,785","11,038",Active,—,robustintelligence.com,View on Twitter,View on LinkedIn,"Alexander Rilee, Eric Balkanski, Kojin Oshiba, Yaron Singer",—,—
56,Benson Hill,"Agriculture, AgTech, Artificial Intelligence, Biotechnology, Machine Learning","Olivette, Missouri, United States",Benson Hill is a provider of crop design platform to develop healthier and more sustainable food and ingredients.,"2,868","7,395",Active,—,www.bensonhill.com,View on Twitter,View on LinkedIn,"Matthew B. Crisp, Todd Mockler",Made Acquisitions,—
57,Redox,"Data Integration, Electronic Health Record (EHR), Health Care, Information Technology","Madison, Wisconsin, United States",Redox is an EHR integration and healthcare platform that accelerates the development and distribution of healthcare software solutions.,"2,903","40,150",Active,—,www.redoxengine.com,View on Twitter,View on LinkedIn,"James Lloyd, Luke Bonney, Niko Skievaski",—,—
58,Upstream Security,"Autonomous Vehicles, Cyber Security, Fleet Management, Network Security","Herzliya, Tel Aviv, Israel",Upstream Security is a centralized security and analytics platform for connected vehicles and smart mobility services.,"2,904","5,302",Active,—,www.upstream.auto,View on Twitter,View on LinkedIn,"Yoav Levy, Yonatan Appel",—,—
59,Oxford Nanopore Technologies,"Biopharma, Biotechnology, Genetics, Health Diagnostics, Nanotechnology","Oxford, Oxfordshire, United Kingdom","Oxford Nanopore Technologies develops nanopore-based electronic systems for analyzing single molecules, including DNA, RNA, and proteins.","2,909","189,904",Active,—,www.nanoporetech.com,View on Twitter,View on LinkedIn,"Gordon Sanghera, Hagan Bayley, Spike Willcocks",—,—
60,Lithic,"Consumer, Financial Services, FinTech, Payments","New York, New York, United States",Lithic is a financial technology startup that provides virtual cards and a card issuing platform for businesses and consumers.,"2,935","5,443",Active,—,lithic.com,View on Twitter,View on LinkedIn,"Boling Jiang, David Nichols, Jason Kruse",—,—
61,Ideon,"Employee Benefits, Health Care, Health Insurance, Information Services","New York, New York, United States",Ideon develops a healthcare data platform for the employee benefits sector.,"2,947","3,458",Active,—,www.ideonapi.com,View on Twitter,View on LinkedIn,"Daniel Langevin, Michael Levin",—,—
62,Arkose Labs,"Cyber Security, FinTech, Fraud Detection, Network Security, Security, Spam Filtering","San Mateo, California, United States",Arkose Labs protects enterprises from cybercrime and abuse.,"3,019","3,061,624",Active,—,www.arkoselabs.com,View on Twitter,View on LinkedIn,"Kevin Gosschalk, Matthew Ford",—,—
63,Coursedog,"Business Information Systems, EdTech, Higher Education, Project Management, Software","New York, New York, United States",Coursedog streamlines academic scheduling and curriculum management for universities and colleges.,"3,065","56,741",Active,—,www.coursedog.com,View on Twitter,View on LinkedIn,"Justin Wenig, Nicholas Diao",—,—
64,Quantum Metric,"Analytics, Information Technology, Mobile Apps, SaaS, Software","Colorado Springs, Colorado, United States",Quantum Metric is a continuous product design platform that helps organizations build better products faster.,"3,083","1,101,750",Active,—,quantummetric.com,View on Twitter,View on LinkedIn,Mario Ciabarra,—,—
65,Teladoc Health,"Health Care, Hospital, mHealth","Purchase, New York, United States","Teladoc is a global provider of virtual care, transforming the access, cost, and quality dynamics of health care delivery.","3,126","205,693",Active,—,teladochealth.com,View on Twitter,View on LinkedIn,"George Byron Brooks, Oscar Boultinghouse",Made Acquisitions,—
66,Lob,"Courier Service, Developer APIs, Marketing, SaaS, Shipping, Software","San Francisco, California, United States",Lob provides direct mail and address verification APIs which allows businesses to send personalized mail to their customers.,"3,182","38,815",Active,—,lob.com,View on Twitter,View on LinkedIn,"Harry Zhang, Leore Avidar",—,—
67,Prefect,"Big Data, Cloud Data Services, Data Integration, Open Source, Software","Washington, District of Columbia, United States",Prefect is a workflow management system that helps to eliminate data flow problems for companies’ data teams.,"3,467","132,693",Active,—,www.prefect.io,View on Twitter,View on LinkedIn,Jeremiah Lowin,—,—
68,Iron Fish,"Blockchain, Cryptocurrency, Financial Services","San Francisco, California, United States",Iron Fish is a novel cryptocurrency focused on privacy and accessibility.,"3,491","10,600",Active,—,ironfish.network/,View on Twitter,View on LinkedIn,Elena Nadolinski,—,—
69,Searchlight,"Analytics, Artificial Intelligence, Big Data, Business Intelligence, Enterprise Software, Machine Learning, Predictive Analytics, Recruiting, SaaS, Software","San Francisco, California, United States",A Predictive Talent Platform that improves hiring efficiency & Quality of Hire by connecting talent assessments & analytics to outcomes,"3,539","98,907",Active,—,www.searchlight.ai/,View on Twitter,View on LinkedIn,"Anna X. Wang, Kerry Wang",—,—
70,Very Good Security,"Compliance, Network Security, Payments, Privacy, Security","San Francisco, California, United States",Very Good Security offers data security options and compliance infrastructure for technology companies.,"3,556","20,531",Active,—,www.verygoodsecurity.com,View on Twitter,View on LinkedIn,"Mahmoud Abdelkader, Marshall Jones",—,—
71,Bushel,"Agriculture, AgTech, Apps, Computer, Farming, iOS, Mobile Apps, Software","Fargo, North Dakota, United States",Bushel is focused on building the digital infrastructure in the agricultural supply chain.,"3,556","3,469",Active,—,bushelpowered.com,View on Twitter,View on LinkedIn,"Jake Joraanstad, Ryan Raguse",Made Acquisitions,—
72,NYMBUS,"Banking, Financial Services, FinTech","Jacksonville, Florida, United States",NYMBUS is a provider of banking technology solutions for financial institutions to innovate and grow.,"3,609","90,292",Active,—,nymbus.com,View on Twitter,View on LinkedIn,"Alex Lopatine, Scott W. Killoh",Made Acquisitions,—
73,Allogene Therapeutics,"Biotechnology, Health Diagnostics, Pharmaceutical","South San Francisco, California, United States",Allogene Therapeutics is a biotechnology company catalyzing cancer treatment through the development of CAR T therapy.,"3,616","9,860",Active,—,allogene.com/,View on Twitter,View on LinkedIn,"Arie Belldegrun, David Chang, Joshua Kazam",—,—
74,Emerge,"Logistics, Shipping, Software, Travel","Scottsdale, Arizona, United States",Emerge is web-based truckload management system that connects shippers and their partners when executing full truckload transactions.,"3,704","12,624",Active,—,www.emergemarket.com,View on Twitter,View on LinkedIn,Andrew Leto,—,—
75,Lydia,"E-Commerce, Financial Services, FinTech, Mobile Payments","Paris, Ile-de-France, France","Lydia is a P2P payment startup enabling users to get accounts, payment cards, loans, insurance, and gift cards.","3,793","2,785,107",Active,—,lydia-app.com,View on Twitter,View on LinkedIn,"Antoine Porte, Cyril Chiche",—,—
76,Jackpocket,"Gambling, Gaming, Mobile, Mobile Apps","New York, New York, United States",Jackpocket is a mobile-first startup helping to modernize state lotteries.,"3,819","300,801",Active,—,jackpocket.com,View on Twitter,View on LinkedIn,"Eric Parker, Leo Shemesh, Matt Silber, Peter Sullivan",—,—
77,Tonic.ai,"Big Data, Developer Tools, Information Technology, Machine Learning, Privacy, SaaS, Software","San Francisco, California, United States","Tonic mimics your production data to create safe, useful, de-identified data for QA, testing, and development.","3,882","19,740",Active,—,www.tonic.ai/,View on Twitter,View on LinkedIn,"Adam Kamor, Andrew Colombi, Ian Coe, Karl Hanson",—,—
78,Wise Systems,"Artificial Intelligence, Enterprise Software, Fleet Management, Logistics, Machine Learning","Cambridge, Massachusetts, United States",Wise Systems' autonomous dispatch and routing software uses AI to improve fleet efficiency and customer service for last-mile operations.,"3,909",659,Active,—,www.wisesystems.com,View on Twitter,View on LinkedIn,"Ali Kamil, Chazz Sims, Jemel Derbali, Layla Shaikley",—,—
79,Seer,"Biotechnology, Health Care, Life Science, Medical","Redwood City, California, United States",Seer is a biotechnology company that offers tools and solutions related to the field of proteomics.,"3,955","59,120",Active,—,seer.bio/,View on Twitter,View on LinkedIn,"Omid Farokhzad, Philip Ma",—,—
80,Simply (formerly JoyTunes),"EdTech, Mobile Apps, Music, Software","Tel Aviv, Tel Aviv, Israel","Simply is a global subscription service reinventing the way people all over the world discover, learn and share creative hobbies.","4,042","231,596",Active,—,www.hellosimply.com,View on Twitter,View on LinkedIn,"Roey Izkovsky, Yigal Kaminka, Yuval Kaminka",—,—
81,Kitman Labs,"Analytics, Artificial Intelligence, Fitness, Information Services, Sports","Dublin, Dublin, Ireland",Kitman Labs is a sports analytics platform that generates insights to help professional athletes perform better.,"4,064","3,905",Active,—,kitmanlabs.com,View on Twitter,View on LinkedIn,"Iarfhlaith Kelly, Stephen Smith",Made Acquisitions,—
82,Legion Technologies,"Human Resources, SaaS","Palo Alto, California, United States",Legion Technologies’ workforce management platform enables businesses to maximize labor efficiency and employee engagement simultaneously.,"4,173","55,344",Active,—,legion.co,View on Twitter,View on LinkedIn,Sanish Mondkar,—,—
83,Attest,"Analytics, Big Data, Consumer Research, Market Research, Marketing, Productivity Tools, SaaS","London, England, United Kingdom",Attest is a consumer research platform that delivers consumer data that drive predictable and repeatable growth to businesses.,"4,253","75,568",Active,—,askattest.com,View on Twitter,View on LinkedIn,"Jeremy King, Tony Hunter",—,—
84,VERSATILE,"Artificial Intelligence, Construction, Industrial, Internet of Things, Machine Learning, Real Estate, Software","Los Altos, California, United States",VERSATILE uses machine learning and AI to optimize construction and industrial processes.,"4,223","1,596",Active,—,www.versatile.ai,View on Twitter,View on LinkedIn,"Barak Cohen, Danny Hermann, Meirav Oren, Ran Oren",—,—
85,Bevy,"Communities, Enterprise Software, Event Management, Events, SaaS, Video Conferencing","Palo Alto, California, United States","Bevy is an enterprise-grade virtual conference and community events platform designed to build, grow, and scale global communities.","4,247","29,058",Active,—,bevy.com,View on Twitter,View on LinkedIn,"Alex Bendig, Derek Andersen, Joel Fernandes",Made Acquisitions,—
86,Cherre,"Analytics, Big Data, Commercial Real Estate, Data Integration, Real Estate","New York, New York, United States",The Leading Real Estate Data Management and Analytics Platform,"4,352","32,420",Active,—,www.cherre.com,View on Twitter,View on LinkedIn,"Ben Hizak, L.D. Salmanson, Riju Pahwa",—,—
87,Minute Media,"Advertising, Digital Media, Media and Entertainment, News, Publishing, Social News, Sports","London, England, United Kingdom",Minute Media is a media and technology brand focused on two main pillars—platform and content.,"4,368","140,288",Active,—,www.minutemedia.com,View on Twitter,View on LinkedIn,"Asaf Peled, Gilad Beiman, Yuval Larom",Made Acquisitions,—
88,Tend,"Dental, Health Care, Medical, Personal Health, Wellness","New York, New York, United States","Tend is a technology-driven dental startup that provides hassle-free, personalized, and straightforward dental services.","4,392","72,252",Active,—,hellotend.com,View on Twitter,View on LinkedIn,"Andrew Grover, Doug Hudson, Michael Stenclik",—,—
89,ABL Space Systems,"Aerospace, Information Technology, Satellite Communication","El Segundo, California, United States",ABL Space Systems specializes in building rockets to launch satellites.,"4,450","5,231",Active,—,www.ablspacesystems.com,—,View on LinkedIn,"Daniel Piemont, Harry O'Hanley",—,—
90,Recogni,"Autonomous Vehicles, Software","Cupertino, California, United States",Developer of a visual perception platform designed for autonomous driving.,"4,451",741,Active,—,recogni.com/,View on Twitter,View on LinkedIn,"Ashwini Choudhary, Eugene Feinberg, Gilles Backhus, R.K. Anand, Valerie Chan",—,—
91,Covatic,"Apps, Mobile, Software","Oxford, Oxfordshire, United Kingdom",Covatic is the use of mobile based algorithms to bring smart personalisation to apps.,"4,454",—,Active,—,www.covatic.com/,View on Twitter,View on LinkedIn,"Nicholas Pinks, Robert Dunbar, Stuart Timms",—,—
