,Organization Name,Industries,Headquarters Location,Description,CB Rank (Company),Monthly Visits,Operating Status,Closed Date,Website,Twitter,LinkedIn,Founders,Acquisition Status,Acquired by
10,Landed,"Finance, Financial Services, FinTech, Real Estate","San Francisco, California, United States",Landed helps essential professionals buy homes and build financial security near the communities they serve.,723,"17,824",Active,—,www.landed.com/,View on Twitter,View on LinkedIn,"Alex Lofton, Jesse Vaughan, Jonathan Asmis",—,—
11,Clue,"Apps, Fertility, Health Care, mHealth, Wellness, Women's","Berlin, Berlin, Germany",Clue is a female health application for period and fertility tracking,738,"3,684,915",Active,—,helloclue.com,View on Twitter,View on LinkedIn,"Hans Raffauf, Ida Tin, Mike Lavigne, Moritz von Buttlar",—,—
12,Celsius Network,"Blockchain, Consumer Lending, Cryptocurrency, Financial Services, FinTech","London, England, United Kingdom",Celsius Network is a blockchain-based lending platform that is accessible through a free mobile app.,839,425,Active,—,celsius.network,View on Twitter,View on LinkedIn,"Alex Mashinsky, Nuke Goldstein, S. Daniel Leon",Made Acquisitions,—
13,Zomato,"Food Delivery, Mobile Apps, Reservations, Restaurants","Gurgaon, Haryana, India",Zomato is an online restaurant guide and food ordering platform that allows users to order meals from restaurants and have them delivered.,893,"24,853,163",Closed,"Jan 1, 2018",www.zomato.com,View on Twitter,View on LinkedIn,"Deepinder Goyal, Pankaj Chaddah",Made Acquisitions,—
14,Darktrace,"Artificial Intelligence, Cyber Security, Information Technology, Machine Learning, Network Security","Cambridge, Cambridgeshire, United Kingdom","Darktrace is an AI company that uses cybersecurity solutions to identify, prevent, and eliminate insider threats.",900,"232,708",Active,—,www.darktrace.com,View on Twitter,View on LinkedIn,"Dave Palmer, Emily Orton, Jack Stockdale, Poppy Gustafsson",Made Acquisitions,—
15,Tia,"Apps, Fitness, Health Care, Wellness","New York, New York, United States","Tia is a health care provider that specializes in mental health, wellness, general care, and gynecology.",955,"89,362",Active,—,www.asktia.com,View on Twitter,View on LinkedIn,"Carolyn Witte, Felicity Yost",—,—
16,Gorilla Technology Group,"Analytics, Enterprise Software, Information Technology, Machine Learning, SaaS, Software, Video","London, England, United Kingdom","Gorilla Technology Group, Inc. is an independent software solution and SaaS provider that specializes in Video technology and Analytics.",969,"44,283",Active,—,www.gorilla-technology.com/,View on Twitter,View on LinkedIn,Spincer Koh,Made Acquisitions,—
17,Pure Storage,"Cloud Computing, Data Storage, Enterprise Software","Santa Clara, California, United States",Pure Storage is an all-flash enterprise storage company that enables broad deployment of flash in data centers.,"1,037","517,743",Active,—,www.purestorage.com,View on Twitter,View on LinkedIn,"John Colgrove, John Hayes, Mike Speiser",Made Acquisitions,—
18,RADAR,"Computer Vision, E-Commerce, Retail, RFID, Wireless","New York, New York, United States","RADAR is an RFID and computer vision platform that automates inventory management, analytics, and checkout in physical stores.","1,101","1,766",Active,—,goradar.com,—,View on LinkedIn,"Adam Blair, Michael E. Murphy, Spencer Hewett",—,—
19,Mira,"Augmented Reality, Computer, Hardware, Information Technology, Software","Los Angeles, California, United States",Mira develops mobile augmented reality platforms to offer industrial wearables and software technologies.,"1,133",—,Active,—,www.mirareality.com/,View on Twitter,View on LinkedIn,"Ben Taft, Joseph May, Matt Stern, Montana Reed",Was Acquired,Apple
20,Fleet Space Technologies,"Internet of Things, Mining Technology, Satellite Communication, Telecommunications","Adelaide, South Australia, Australia",Fleet is a space tech company that explores for critical minerals,"1,271","6,875",Active,—,fleetspace.com,View on Twitter,View on LinkedIn,"Flavia Tata Nardini, Matthew Pearson, Matthew Tetlow",—,—
21,CopyAI,"Analytics, Artificial Intelligence, Marketing Automation, Productivity Tools","Memphis, Tennessee, United States",CopyAI is a startup building AI-powered copywriting tools for business customers.,"1,266","9,504,505",Active,—,www.copy.ai,View on Twitter,View on LinkedIn,"Chris Lu, Paul Yacoubian",—,—
22,Wag,"Apps, Crowdsourcing, Pet","Mountain View, California, United States",Wag! is a mobile application used to instantly find trusted and certified dog walkers.,"1,309","4,950,042",Active,—,www.wagwalking.com/,View on Twitter,View on LinkedIn,"Brendan Rogers, Jason Meltzer, Jonathan Viner, Joshua Viner",Made Acquisitions,—
23,Bluevine,"Banking, Finance, Financial Services, FinTech, Small and Medium Businesses","Redwood City, California, United States",Bluevine empowers small businesses with innovative banking products designed for them.,"1,338","870,045",Active,—,www.bluevine.com,View on Twitter,View on LinkedIn,Eyal Lifshitz,—,—
24,Okera,"Cloud Data Services, Cloud Security, Information Technology, Privacy, Software","San Francisco, California, United States",Okera is a data authorization company.,"1,345","6,570",Active,—,www.okera.com,View on Twitter,View on LinkedIn,"Amandeep Khurana, Nong Li",Was Acquired,Databricks
25,Crossbeam,"Analytics, Business Development, Collaboration, SaaS, Sales","Philadelphia, Pennsylvania, United States",Crossbeam is a collaborative data platform that helps companies build more valuable partnerships.,"1,363","82,503",Active,—,www.crossbeam.com,View on Twitter,View on LinkedIn,"Bob Moore, Buck Ryan",Made Acquisitions,—
26,Solv,"Apps, Health Care, Health Diagnostics, Mobile Apps, Personal Health","Oakland, California, United States",Solv is a digital platform which allows patients to book same-day doctor’s appointments and urgent care visits.,"1,395","2,523,113",Active,—,www.solvhealth.com,View on Twitter,View on LinkedIn,"Daniele Farnedi, Heather Mirjahangir, Stephen Rossi",—,—
27,Globality,"Artificial Intelligence, Enterprise Applications, SaaS","Palo Alto, California, United States",Globality revolutionizes how businesses buy and sell services by matching the best provider at the right price for every project.,"1,597","16,298",Active,—,www.globality.com/,View on Twitter,View on LinkedIn,"Joel Hyatt, Lior Delgo, Ran Harpaz",—,—
28,Semgrep,"Security, Software","San Francisco, California, United States",Profoundly improving software security and reliability,"1,718","47,252",Active,—,semgrep.dev,View on Twitter,View on LinkedIn,"Drew Dennison, Isaac Evans, Luke O’Malley",—,—
29,Terran Orbital,"Aerospace, Machinery Manufacturing, Manufacturing, Satellite Communication","Boca Raton, Florida, United States",Terran Orbital is a manufacturer of small satellites primarily serving the United States and Allied aerospace and defense industries.,"1,863","17,580",Active,—,terranorbital.com/,View on Twitter,View on LinkedIn,"Anthony Previte, Marc Bell",—,—
30,Enfuce,"Banking, Financial Services, FinTech, Payments","Espoo, Southern Finland, Finland","Enfuce offers payment, open banking, and sustainability services to banks, fintechs, financial operators, and merchants.","1,888","23,976",Active,—,enfuce.com/,View on Twitter,View on LinkedIn,"Denise Johansson, Monika Liikamaa, Niklas Apellund, Tom Gråhn, William Ekström",—,—
31,Ghost Autonomy,"Artificial Intelligence, Automotive, Autonomous Vehicles, Machine Learning, Software, Transportation","Mountain View, California, United States",Ghost brings attention to free driving by developing a software solution with AI approaches.,"2,031","5,533",Active,—,www.ghostautonomy.com,View on Twitter,View on LinkedIn,"John Hayes, Volkmar Uhlig",—,—
32,Nauto,"Artificial Intelligence, Automotive, Autonomous Vehicles, Information Services, Machine Learning, Mobile","Palo Alto, California, United States",Nauto is an AI-technology company on a mission to make driving safer and smarter,"2,084","16,136",Active,—,www.nauto.com,View on Twitter,View on LinkedIn,"Frederick Soo, Stefan Heck",Made Acquisitions,—
33,Untether AI,"Artificial Intelligence, Semiconductor, Software","Toronto, Ontario, Canada",Untether AI develops AI chips to enable new frontiers in AI applications.,"2,120","3,257",Active,—,untether.ai,View on Twitter,View on LinkedIn,"Darrick Wiebe, Martin Snelgrove, Raymond Chik",—,—
34,Flytrex,"Delivery Service, Drones, Logistics, Robotics","Tel Aviv, Tel Aviv, Israel",Flytrex develops drone delivery systems that simplify deliveries and enhance efficiency by shortening delivery times and lowering costs.,"2,154","3,318",Active,—,www.flytrex.com,View on Twitter,View on LinkedIn,"Amit Regev, Yariv Bash",—,—
35,3D Cloud by Marxent,"3D Technology, Augmented Reality, Building Material, E-Commerce, Home Improvement","St. Petersburg, Florida, United States","3D Cloud provides premium 3D solutions for furniture, kitchen, bath, office, and outdoor retailers and manufacturers.","2,161","21,233",Active,—,marxentlabs.com,View on Twitter,View on LinkedIn,"Barry Besecker, Beck Besecker",—,—
36,NewsBreak,"Journalism, Media and Entertainment, News, Search Engine","Mountain View, California, United States",News Break is the Nation's #1 Intelligent Local News Platform,"2,168","18,798,436",Active,—,www.newsbreak.com/about,View on Twitter,View on LinkedIn,"Jeff Zheng, Xuyang Ren",—,—
37,AuditBoard,"Cloud Data Services, Compliance, Computer, Customer Service, Information Technology, SaaS, Software","Cerritos, California, United States",AuditBoard is the leading cloud-based platform transforming how enterprises manage risk.,"2,234","76,216",Active,—,www.auditboard.com/,View on Twitter,View on LinkedIn,"Daniel Kim, Jay Lee",—,—
38,Origin Materials,"Advanced Materials, Chemical, Manufacturing","West Sacramento, California, United States",Origin Materials is a carbon negative materials company that develops technology turning the carbon found in biomass into useful materials.,"2,367","8,056",Active,—,www.originmaterials.com,View on Twitter,View on LinkedIn,John Bissell,—,—
39,ClimateView,"Big Data, CleanTech, GreenTech, Information Technology, SaaS, Software","Stockholm, Stockholms Lan, Sweden",ClimateView is a climate action technology company helping cities transform climate planning into progress,"2,475",—,Active,—,www.climateview.global/,View on Twitter,View on LinkedIn,"Einar Bodström, Jeff Goens, Tomer Shalit",—,—
40,Stellar Health,"Apps, Health Care, Software","New York, New York, United States",Stellar Health empowers providers and practice staff to deliver high-quality care through real-time notifications and meaningful incentives.,"2,467",—,Active,—,stellar.health,View on Twitter,View on LinkedIn,"Ari Brenner, Ben Kraus, Michael Meng, Octavian Costache",—,—
41,Barogo,"E-Commerce, Food Delivery, Information Technology, Logistics, Mobile, Supply Chain Management, Transportation","Seoul, Seoul-t'ukpyolsi, South Korea","Barogois is a Logistics & Supply Chain firm offering delivery, technology, mobile, transportation, e-commerce, food delivery services.","2,576","5,603",Active,—,www.barogo.com/,—,View on LinkedIn,Tae-kwon Lee,Made Acquisitions,—
42,Saildrone,"Artificial Intelligence, Big Data, Drones, Manufacturing, Marine Technology","Alameda, California, United States",Saildrone manufactures and operates a fleet of the capable and proven unmanned surface vehicles.,"2,650","48,731",Active,—,www.saildrone.com,View on Twitter,View on LinkedIn,Richard Jenkins,—,—
43,Perch,"Consumer Goods, E-Commerce, Retail","Boston, Massachusetts, United States",Perch is a technology-driven company that acquires direct-to-consumer businesses that are selling on Amazon and growing their operations.,"2,670","15,101",Active,—,www.perchhq.com,View on Twitter,View on LinkedIn,Chris Bell,Made Acquisitions,—
44,DISQO,"Analytics, Consumer Research, CRM, Information Technology, Market Research","Glendale, California, United States",DISQO develops an audience insights platform designed to connect brands and people.,"2,703","1,901,587",Active,—,www.disqo.com,View on Twitter,View on LinkedIn,"Armen Adjemian, Armen Petrosian, Drew Kucharian",Made Acquisitions,—
45,Tala,"Analytics, Big Data, Financial Services, FinTech, Information Technology, Mobile, Mobile Payments, Payments","Santa Monica, California, United States",Tala is a mobile technology and data science company that is oriented around financial services in emerging markets.,"2,698","30,352",Active,—,tala.co,View on Twitter,View on LinkedIn,Shivani Siroya,—,—
46,Suzy,"Artificial Intelligence, Business Intelligence, Crowdsourcing, Market Research, Product Research, SaaS, Software","New York, New York, United States",Suzy is a technology platform that harnesses collective insights from millions of consumers worldwide to deliver real-time intelligence.,"2,756","33,351",Active,—,www.suzy.com,View on Twitter,View on LinkedIn,"Brandon Evans, Kareem Kouddous, Matt Britton",Made Acquisitions,—
47,Oshi Health,"Health Care, Medical, Mobile","New York, New York, United States",Oshi Health is a digital health platform that provides personalized support and resources for people with digestive health conditions.,"2,780","35,777",Active,—,www.oshihealth.com,View on Twitter,View on LinkedIn,"Sam Holliday, Sameer Berry, Sona Chandra",—,—
48,Trade Ledger,"Financial Services, Information Services, Information Technology, Lending","London, England, United Kingdom",Trade Ledger is a Business lending platform.,"2,832","5,321",Active,—,tradeledger.io/,View on Twitter,View on LinkedIn,"Martin McCann, Matthias Born",—,—
49,Knowde,"Advertising, E-Commerce, Internet, Marketing","San Jose, California, United States",Knowde is the online marketing platform dedicated to chemicals and ingredients.,"2,983","358,440",Active,—,www.knowde.com,View on Twitter,View on LinkedIn,"Ali Amin- Javaheri, Janakiraman Swamy, Jeffery Reid, Wojciech Krupa",—,—
50,Daily Harvest,"E-Commerce, Food and Beverage, Food Delivery, Organic Food, Subscription Service","New York, New York, United States",Daily Harvest is a customer-first platform that provides subscription-based food delivery services to offer healthy frozen foods.,"3,056","400,082",Active,—,www.daily-harvest.com,View on Twitter,View on LinkedIn,Rachel Drori,—,—
51,Aviso,"Artificial Intelligence, B2B, Enterprise Software, Machine Learning, Predictive Analytics, Sales, Software","Redwood City, California, United States",AI-Driven Sales Forecasting and Pipeline Management,"3,080","25,107",Active,—,www.aviso.com,View on Twitter,View on LinkedIn,"Andrew Abrahams (Deceased), KV Rao",—,—
52,StreamElements,"Content Creators, Developer Tools, Media and Entertainment, Music Streaming, Video Streaming","Tel Aviv, Tel Aviv, Israel","StreamElements provides content creators the tools they need to engage, grow, and monetize their audiences.","3,166","18,193,221",Active,—,streamelements.com,View on Twitter,View on LinkedIn,"Doron Nir, Gil Hirsch, Or Perry, Reem Sherman",Made Acquisitions,—
53,Drip Capital,"Finance, Financial Services, FinTech","Palo Alto, California, United States",Drip Capital offers trade financing product targeted towards SMEs in developing markets.,"3,235","379,015",Active,—,www.dripcapital.com/,View on Twitter,View on LinkedIn,"Neil Kothari, Pushkar Mukewar",—,—
54,Symbl.ai,"Artificial Intelligence, Developer APIs, Information Technology","Seattle, Washington, United States","Symbl.ai is an early-stage, venture-backed startup that is democratizing access to conversational intelligence for developers.","3,242","16,327",Active,—,symbl.ai,View on Twitter,View on LinkedIn,"Surbhi Rathore, Toshish Jawale",—,—
55,Credgenics,"Consulting, FinTech, Information Technology, Law Enforcement","Noida, Uttar Pradesh, India","Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","3,279","5,844",Active,—,www.credgenics.com/,View on Twitter,View on LinkedIn,"Aditya Gupta, Anand Agrawal, Mayank Khera, Nitin Upadhyay, Rishabh Goel",—,—
56,Rockset,"Analytics, Information Services, Information Technology, Software","San Mateo, California, United States",Rockset is a computer software company that offers a cloud data infrastructure.,"3,318","23,487",Active,—,rockset.com/,View on Twitter,View on LinkedIn,"Dhruba Borthakur, Venkat Venkataramani",—,—
57,Chroma Medicine,"Biotechnology, Medical, Therapeutics","Cambridge, Massachusetts, United States",Chroma Medicine is a new genomic medicine company working on epigenetic editing.,"3,352","2,453",Active,—,chromamedicine.com,View on Twitter,View on LinkedIn,—,Made Acquisitions,—
58,Rev,"Advertising, B2B, Lead Generation, Marketing, Marketing Automation, Sales Automation, Software","San Diego, California, United States","Rev reinvents sales development for B2B sales and marketing teams, helping them fuel their funnel with the highest potential prospects.","3,396","2,277",Active,—,getrev.ai,View on Twitter,View on LinkedIn,"Olin Hyde, Sanjit Singh",—,—
59,Q4,"Business Intelligence, CRM, SaaS, Stock Exchanges","Toronto, Ontario, Canada",Q4 is a SaaS platform that provides communication and intelligence solutions to investor relations professionals.,"3,606","340,033",Active,—,www.q4inc.com,View on Twitter,View on LinkedIn,Darrell Heaps,Made Acquisitions,—
60,Swiftly,"Analytics, Big Data, Internet, Public Transportation, Real Time, Smart Cities, Software, Transportation","San Francisco, California, United States",Swiftly develops enterprise software that helps transit agencies and cities improve urban mobility.,"3,572","15,995",Active,—,goswift.ly,View on Twitter,View on LinkedIn,"Mike Smith, Will Dayton",—,—
61,Solo.io,"Apps, Cloud Computing, Developer APIs, Internet, Software","Cambridge, Massachusetts, United States","Solo.io simplifies how to secure and scale cloud-native applications, using the industries' leading application networking platform.","3,621","52,117",Active,—,www.solo.io,View on Twitter,View on LinkedIn,Idit Levine,—,—
62,FabFitFun,"E-Commerce, Fashion, Subscription Service, Wellness","Los Angeles, California, United States",FabFitFun offers subscription services that allow its members to discover brands and products.,"3,650","1,974,890",Active,—,fabfitfun.com,View on Twitter,View on LinkedIn,"Daniel Broukhim, Katie Echevarria Rosen Kitchens, Michael Broukhim, Sam Teller",—,—
63,LeanData,"Advertising, Analytics, Information Technology, Lead Management, SaaS, Software","Sunnyvale, California, United States","LeanData is a platform that enables revenue teams (marketing, sales, customer, and partner ops) to manage all go-to-market motions.","3,657","44,705",Active,—,www.leandata.com,View on Twitter,View on LinkedIn,"Evan Liang, Kelvin Cheung",—,—
64,GeneDx,"Biotechnology, Genetics, Health Care, Life Science, Pharmaceutical","Gaithersburg, Maryland, United States","GeneDx, a division of BioReference Laboratories, is a global industry in genetics and genomics, providing testing to patients and families.","3,695","122,275",Active,—,www.genedx.com,View on Twitter,View on LinkedIn,"John Compton, Sherri Bale",Was Acquired,Sema4
65,Vertical Aerospace,"Aerospace, Air Transportation, Mechanical Engineering","Bristol, Bristol, City of, United Kingdom","Vertical Aerospace builds technology to revolutionize how people fly, by making air travel personal, on-demand, and carbon-free.","3,715","42,675",Active,—,vertical-aerospace.com/,View on Twitter,View on LinkedIn,Stephen Fitzpatrick,—,—
66,Splash,"Event Management, Events, Marketing, SaaS, Software","New York, New York, United States","Splash is an event solution made by event pros that provides the tools to create and execute virtual, in-person, and hybrid event programs.","3,797","2,084,310",Active,—,splashthat.com/,View on Twitter,View on LinkedIn,"Ben Hindman, Brett Boskoff",—,—
67,Materialize,"Analytics, Database, Developer Tools, Productivity Tools, Software","New York, New York, United States",Materialize is a streaming SQL database company that simplifies the application development for developers.,"3,943","16,300",Active,—,materialize.com,View on Twitter,View on LinkedIn,"Arjun Narayan, Frank McSherry",—,—
68,Bright,"Career Planning, Recruiting, Staffing Agency","London, England, United Kingdom","Bright is an online recruitment network that connects graduates, undergraduates and professionals with suitable job opportunities.","3,953","957,323",Closed,—,www.brightnetwork.co.uk,View on Twitter,View on LinkedIn,James Uffindell,Made Acquisitions,—
69,Snappy,"Enterprise Software, Gift, Gift Card","New York, New York, United States",Snappy is an all-in-one enterprise gifting platform that allows companies to send gifts to their customers and team members.,"3,973","35,944",Active,—,www.snappy.com,View on Twitter,View on LinkedIn,Hani Goldstein,—,—
70,Scribe,"Internet, Productivity Tools, Software","San Francisco, California, United States","Scribe lets users share how work is done, enabling anyone to automatically create step-by-step guides for any process.","4,058","1,165,657",Active,—,scribehow.com,View on Twitter,View on LinkedIn,"Aaron Podolny, Jennifer Smith",—,—
71,Ouster,"Autonomous Vehicles, Electronics, Industrial Automation, Manufacturing, Robotics, Sensor","San Francisco, California, United States","Ouster builds high-resolution digital lidar sensors for industrial automation, smart infrastructure, robotics, and automotive.","4,080","31,207",Active,—,www.ouster.com,View on Twitter,View on LinkedIn,"Angus Pacala, Eric Younge, Mark Frichtl",Made Acquisitions,—
72,Innoviz Technologies,"Automotive, Autonomous Vehicles, Manufacturing, Sensor, Software","Tel Aviv, Tel Aviv, Israel",Innoviz manufactures LiDAR sensors and perception software that enables the mass-production of autonomous vehicles.,"4,131","10,879",Active,—,www.innoviz.tech,View on Twitter,View on LinkedIn,"Amit Steinberg, Omer David Keilaf, Oren Buskila, Oren Rosenzweig, Zohar Zisapel",—,—
73,Anomali,"Analytics, Cyber Security, Network Security, Open Source, Security","Redwood City, California, United States",Anomali is the leader in intelligence driven extended detection and response cybersecurity solutions.,"4,148","19,586",Active,—,www.anomali.com,View on Twitter,View on LinkedIn,"Colby DeRodeff, Greg Martin",—,—
74,DataCamp,"Analytics, Big Data, Education","New York, New York, United States",DataCamp is a young team of data analytics enthusiasts that provide free interactive data science and statistics education to the world.,"4,218","5,315,155",Active,—,www.datacamp.com,View on Twitter,View on LinkedIn,"Dieter De Mesmaeker, Jonathan Cornelissen, Martijn Theuwissen",—,—
75,Caffeine,"Broadcasting, Media and Entertainment, Social Media, Video Games, Video Streaming","Redwood City, California, United States","Caffeine is a new kind of broadcast company focused on the creation and distribution of live, interactive content.","4,221","417,119",Active,—,www.caffeine.tv,View on Twitter,View on LinkedIn,"Ben Keighran, Sam Roberts",—,—
76,Bitpanda,"Bitcoin, Blockchain, Cryptocurrency, FinTech","Vienna, Wien, Austria",Bitpanda is a centralized crypto exchange that provides users access to digital assets.,"4,238","1,839,629",Active,—,www.bitpanda.com,View on Twitter,View on LinkedIn,Paul Klanschek,Made Acquisitions,—
77,Ripcord,"Artificial Intelligence, Document Management, Machine Learning, Robotics, SaaS, Software","Hayward, California, United States",Turn your documents into powerful data with Ripcord.,"4,250","3,919",Active,—,www.ripcord.com,View on Twitter,View on LinkedIn,"Alex Fielding, Kevin Hall, Kim Lembo",Made Acquisitions,—
78,Opya,"Health Care, mHealth, Wellness","San Mateo, California, United States",Opya transforms autism care by successfully connecting treatment with technology.,"4,368","3,836",Active,—,www.opyacare.com,View on Twitter,View on LinkedIn,Jonathan Wright,Made Acquisitions,—
79,Zus Health,"Health Care, Information Technology, Medical","Watertown, Massachusetts, United States",Zus Health helps a new wave of healthcare builders to create technologies and services without the usual blockers.,"4,415","6,852",Active,—,zushealth.com,View on Twitter,View on LinkedIn,Jonathan Bush,—,—
80,Collective,"Finance, Financial Services, FinTech","San Francisco, California, United States",Collective provides financial concierge services for self-employed people and businesses.,"4,619","159,056",Active,—,www.collective.com,View on Twitter,View on LinkedIn,"Bugra Akcay, Hooman Radfar, Ugur Kaner, William Etundi, Jr.",—,—
81,Purefacts Financial Solutions,"Asset Management, Consulting, FinTech, Machine Learning, Wealth Management","Toronto, Ontario, Canada",Purefacts is a software and consulting firm that serves the global wealth management industry.,"4,630",750,Active,—,www.purefacts.com,View on Twitter,View on LinkedIn,Robert Madej,Made Acquisitions,—
82,NowFloats,"E-Commerce, Location Based Services, Mobile Apps, Real Time","Hyderabad, Andhra Pradesh, India",More than just a regular website,"4,749","69,367",Active,—,www.nowfloats.com,View on Twitter,—,"Jasminder Gulati, Neeraj Sabharwal, Nitin Jain, Ronak Kumar Samantray, Ronak Samantray","Made Acquisitions, Was Acquired",Reliance Industries
83,Ductor,"Biotechnology, Farming, Recycling","Helsinki, Southern Finland, Finland",Ductor is a provider of proprietary technologies designed to secure efficient waste management production based on recycling.,"4,757",—,Active,—,www.ductor.com/,View on Twitter,View on LinkedIn,Ari Ketola,—,—
84,Vim,"Health Care, Health Insurance, Internet, Software","San Francisco, California, United States",Vim is a technology company building digital infrastructure for healthcare.,"4,788","6,581",Active,—,getvim.com/,View on Twitter,View on LinkedIn,"Asaf David, Oron Afek, Yael Peled",—,—
85,GPR,"Mapping Services, Navigation, Service Industry, Transportation","Somerville, Massachusetts, United States",GPR provides driver assist systems for transports.,"4,882","4,268",Active,—,www.gpr.com,View on Twitter,View on LinkedIn,"Byron Stanley, Tarik Bolat",—,—
86,Brightside Health,"Health Care, Therapeutics, Wellness","San Francisco, California, United States",Brightside Health is a telemedicine platform that offers evidence-based mental health treatments.,"4,883","2,587,958",Active,—,www.brightside.com,View on Twitter,View on LinkedIn,"Brad Kittredge, Jeremy Barth, Mimi Winsberg",—,—
87,Relay Therapeutics,"Biotechnology, Health Care, Therapeutics","Cambridge, Massachusetts, United States",Relay therapeutics is a developer of an allosteric drug-discovery platform intended to apply computational techniques to protein motion.,"5,139","10,401",Active,—,relaytx.com/,View on Twitter,View on LinkedIn,"David E. Shaw, Dorothee Kern, Mark Murcko, Matthew Jacobson",Made Acquisitions,—
88,Unnati,"Agriculture, AgTech, Farming, Financial Services, FinTech","Noida, Uttar Pradesh, India","Unnati is a fintech-based agri platform that offers banking, supplies agri-inputs, and provides Agronomy services for farmers.","5,173",741,Active,—,www.unnatiagri.com,View on Twitter,View on LinkedIn,"Amit Sinha, Ashok Prasad",—,—
89,Curology,"Beauty, Consumer Goods, Cosmetics, Health Care","San Francisco, California, United States",Curology is a cosmetic company that provides actual prescription skincare customized for their skin and delivered to their door.,"5,192","2,102,365",Active,—,curology.com,View on Twitter,View on LinkedIn,"David Lortscher, Glenn Lortscher, Kris Fredrickson, Nancy Satur",—,—
90,Sojern,"Advertising Platforms, Digital Marketing, Hospitality, SaaS, Travel","San Francisco, California, United States",The leading travel marketing platform,"5,248","1,857,597",Active,—,www.sojern.com,View on Twitter,View on LinkedIn,William E. Fisher,Made Acquisitions,—
91,unitQ,"Analytics, Artificial Intelligence, Machine Learning, Quality Assurance, SaaS, Software","Burlingame, California, United States",unitQ is a product quality platform that helps companies drive growth and retention by fixing the right quality issues faster.,"5,325","7,861",Active,—,www.unitq.com/,View on Twitter,View on LinkedIn,"Anthony Heckman, Christian Wiklund, Niklas Lindstrom",—,—
92,Workiz,"CRM, Enterprise Software, Recruiting, SaaS, Small and Medium Businesses","San Diego, California, United States","Workiz is the leading platform for field service teams, trusted by over 110,000 pros.","5,433","518,115",Active,—,workiz.com,View on Twitter,View on LinkedIn,"Erez Marom, Idan Kadosh, Saar Kohanovitch",—,—
